district,rawDong,type,subtype,scope,dimension,value,count,denominator,sharePct,calendarDays,receiptsPerCalendarDay
북구,금곡동,구급,질병,P,weekdayHour,128,26,3615,0.719225449515906,261,0.0996168582375478
북구,금곡동,구급,질병,P,weekdayHour,129,29,3615,0.8022130013831259,261,0.1111111111111111
북구,금곡동,구급,질병,P,weekdayHour,130,33,3615,0.9128630705394192,261,0.1264367816091954
북구,금곡동,구급,질병,P,weekdayHour,131,24,3615,0.6639004149377593,261,0.0919540229885057
북구,금곡동,구급,질병,P,weekdayHour,132,28,3615,0.7745504840940526,261,0.10727969348659
북구,금곡동,구급,질병,P,weekdayHour,133,16,3615,0.4426002766251729,261,0.0613026819923371
북구,금곡동,구급,질병,P,weekdayHour,134,20,3615,0.5532503457814661,261,0.0766283524904214
북구,금곡동,구급,질병,P,weekdayHour,135,20,3615,0.5532503457814661,261,0.0766283524904214
북구,금곡동,구급,질병,P,weekdayHour,136,18,3615,0.4979253112033195,261,0.0689655172413793
북구,금곡동,구급,질병,P,weekdayHour,137,19,3615,0.5255878284923928,261,0.0727969348659003
북구,금곡동,구급,질병,P,weekdayHour,138,14,3615,0.3872752420470263,261,0.053639846743295
북구,금곡동,구급,질병,P,weekdayHour,139,29,3615,0.8022130013831259,261,0.1111111111111111
북구,금곡동,구급,질병,P,weekdayHour,140,17,3615,0.4702627939142462,261,0.0651340996168582
북구,금곡동,구급,질병,P,weekdayHour,141,34,3615,0.9405255878284924,261,0.1302681992337164
북구,금곡동,구급,질병,P,weekdayHour,142,21,3615,0.5809128630705395,261,0.0804597701149425
북구,금곡동,구급,질병,P,weekdayHour,143,22,3615,0.6085753803596127,261,0.0842911877394636
북구,금곡동,구급,질병,P,weekdayHour,144,18,3615,0.4979253112033195,261,0.0689655172413793
북구,금곡동,구급,질병,P,weekdayHour,145,17,3615,0.4702627939142462,261,0.0651340996168582
북구,금곡동,구급,질병,P,weekdayHour,146,13,3615,0.359612724757953,261,0.0498084291187739
북구,금곡동,구급,질병,P,weekdayHour,147,9,3615,0.2489626556016597,261,0.0344827586206896
북구,금곡동,구급,질병,P,weekdayHour,148,15,3615,0.4149377593360996,261,0.057471264367816
북구,금곡동,구급,질병,P,weekdayHour,149,16,3615,0.4426002766251729,261,0.0613026819923371
북구,금곡동,구급,질병,P,weekdayHour,150,11,3615,0.3042876901798063,261,0.0421455938697318
북구,금곡동,구급,질병,P,weekdayHour,151,19,3615,0.5255878284923928,261,0.0727969348659003
북구,금곡동,구급,질병,P,weekdayHour,152,19,3615,0.5255878284923928,261,0.0727969348659003
북구,금곡동,구급,질병,P,weekdayHour,153,19,3615,0.5255878284923928,261,0.0727969348659003
북구,금곡동,구급,질병,P,weekdayHour,154,29,3615,0.8022130013831259,261,0.1111111111111111
북구,금곡동,구급,질병,P,weekdayHour,155,32,3615,0.8852005532503457,261,0.1226053639846743
