raw_dong,2020,2021,2022,2023,2024,pooled_total,gu_rank_best_without_year,gu_rank_worst_without_year,city_rank_best_without_year,city_rank_worst_without_year,above_rest_busan_conditions,above_rest_gu_conditions,comparable_conditions
다대동,880,835,875,846,618,4054,1,1,4,6,30,30,30
금곡동,797,807,761,707,543,3615,1,1,8,10,30,30,30
