raw_dong,subtype,hours,count,denominator,share_pct,night_20to08_pct
다대동,질병,00-04,447,4054,11.026147015293537,40.89787863838185
다대동,질병,04-08,500,4054,12.333497779970399,40.89787863838185
다대동,질병,08-12,910,4054,22.446965959546127,40.89787863838185
다대동,질병,12-16,774,4054,19.092254563394178,40.89787863838185
다대동,질병,16-20,712,4054,17.562900838677848,40.89787863838185
다대동,질병,20-24,711,4054,17.538233843117908,40.89787863838185
금곡동,질병,00-04,366,3615,10.12448132780083,37.70401106500692
금곡동,질병,04-08,421,3615,11.645919778699861,37.70401106500692
금곡동,질병,08-12,912,3615,25.228215767634854,37.70401106500692
금곡동,질병,12-16,702,3615,19.41908713692946,37.70401106500692
금곡동,질병,16-20,638,3615,17.64868603042877,37.70401106500692
금곡동,질병,20-24,576,3615,15.933609958506224,37.70401106500692
부전동,질병외,00-04,750,4625,16.216216216216218,47.76216216216216
부전동,질병외,04-08,503,4625,10.875675675675677,47.76216216216216
부전동,질병외,08-12,624,4625,13.491891891891893,47.76216216216216
부전동,질병외,12-16,919,4625,19.87027027027027,47.76216216216216
부전동,질병외,16-20,873,4625,18.875675675675677,47.76216216216216
부전동,질병외,20-24,956,4625,20.67027027027027,47.76216216216216
부전동,부상,00-04,249,1178,21.137521222410864,55.093378607809846
부전동,부상,04-08,144,1178,12.224108658743633,55.093378607809846
부전동,부상,08-12,123,1178,10.441426146010187,55.093378607809846
부전동,부상,12-16,175,1178,14.855687606112054,55.093378607809846
부전동,부상,16-20,231,1178,19.60950764006791,55.093378607809846
부전동,부상,20-24,256,1178,21.731748726655347,55.093378607809846
