district,year,subgroup,sampleN,indicator,crudeWeightedPercent,standardErrorPP,relativeStandardErrorPercent,ageStandardizedPercent,confidenceInterval,period,denominator,rateType,sourceSheet,excelRow,excelColumn,pdfPage
연제구,2024,60-69,203,심폐소생술 교육 경험률,16.8,2.5,15.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",15,4,206
연제구,2024,60-69,203,마네킹 실습 경험률,16.0,2.5,15.6,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",15,6,206
연제구,2024,60-69,203,AED 실습 경험률,10.5,2.2,21.4,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",15,8,206
연제구,2024,70 이상,211,심폐소생술 교육 경험률,7.6,2.1,27.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",16,4,206
연제구,2024,70 이상,211,마네킹 실습 경험률,6.7,1.9,28.9,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",16,6,206
연제구,2024,70 이상,211,AED 실습 경험률,4.0,1.6,40.7,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",16,8,206
연제구,2024,19-64,593,심폐소생술 교육 경험률,36.0,2.4,6.6,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",18,4,206
연제구,2024,19-64,593,마네킹 실습 경험률,33.7,2.4,7.2,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",18,6,206
연제구,2024,19-64,593,AED 실습 경험률,23.6,2.1,8.8,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",18,8,206
연제구,2024,65 이상,315,심폐소생술 교육 경험률,9.8,1.8,18.7,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",19,4,206
연제구,2024,65 이상,315,마네킹 실습 경험률,8.9,1.8,19.8,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",19,6,206
연제구,2024,65 이상,315,AED 실습 경험률,4.5,1.5,33.1,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",19,8,206
