candidate,short_name,resident_total,pct65plus,pct75plus
금곡동,금곡동,34752,29.376726519337016,12.396408839779005
다대제2동,다대2동,25091,27.017655733131402,9.967717508269898
다대제1동,다대1동,35576,23.265684731279514,8.685630762311671
부전제1동,부전1동,14234,18.807081635520582,7.285373050442602
부전제2동,부전2동,12202,13.104409113260122,4.482871660383544
