candidate,reference_date,age_band,count,resident_total,percent
부전제2동,2024-12-31,30–34,1520,12202,12.456974266513686
부전제2동,2024-12-31,35–39,1037,12202,8.498606785772825
부전제2동,2024-12-31,40–44,914,12202,7.490575315522046
부전제2동,2024-12-31,45–49,738,12202,6.048188821504671
부전제2동,2024-12-31,50–54,809,12202,6.630060645795771
부전제2동,2024-12-31,55–59,782,12202,6.4087854450090145
부전제2동,2024-12-31,60–64,747,12202,6.1219472217669235
부전제2동,2024-12-31,65–69,667,12202,5.466316997213571
부전제2동,2024-12-31,70–74,385,12202,3.1552204556630064
부전제2동,2024-12-31,75–79,253,12202,2.0734305851499752
부전제2동,2024-12-31,80–84,169,12202,1.385018849368956
부전제2동,2024-12-31,85–89,87,12202,0.7129978692017702
부전제2동,2024-12-31,90–94,25,12202,0.20488444517292245
부전제2동,2024-12-31,95–99,11,12202,0.09014915587608589
부전제2동,2024-12-31,100+,2,12202,0.016390755613833796
