caseId,district,rawDong,subtype,scope,period,count,weekendCount,weekdayCount,weekendDays,weekdayDays,weekendPerDay,weekdayPerDay,weekendRatio,day06to18,night18to06,dayShare
action-1,연제구,연산동,심정지,A,2020,85,28,57,104,262,0.2692307692307692,0.21755725190839695,1.2375168690958165,57,28,0.6705882352941176
action-1,연제구,연산동,심정지,A,2021,113,35,78,104,261,0.33653846153846156,0.2988505747126437,1.1261094674556213,78,35,0.6902654867256637
action-1,연제구,연산동,심정지,A,2022,146,51,95,105,260,0.4857142857142857,0.36538461538461536,1.3293233082706768,94,52,0.6438356164383562
action-1,연제구,연산동,심정지,A,2023,146,41,105,105,260,0.3904761904761905,0.40384615384615385,0.9668934240362812,95,51,0.6506849315068494
action-1,연제구,연산동,심정지,A,2024,115,43,72,104,262,0.41346153846153844,0.2748091603053435,1.5045405982905982,83,32,0.7217391304347827
action-1,연제구,연산동,심정지,A,2020–2022,344,114,230,313,783,0.36421725239616615,0.2937420178799489,1.2399222114182527,229,115,0.6656976744186046
action-1,연제구,연산동,심정지,A,2023–2024,261,84,177,209,522,0.4019138755980861,0.3390804597701149,1.1853053280350336,178,83,0.6819923371647509
action-1,연제구,연산동,심정지,B,2020,78,26,52,104,262,0.25,0.1984732824427481,1.2596153846153846,51,27,0.6538461538461539
action-1,연제구,연산동,심정지,B,2021,102,30,72,104,261,0.28846153846153844,0.27586206896551724,1.0456730769230769,71,31,0.696078431372549
action-1,연제구,연산동,심정지,B,2022,119,40,79,105,260,0.38095238095238093,0.3038461538461538,1.253767329716697,75,44,0.6302521008403361
action-1,연제구,연산동,심정지,B,2023,115,31,84,105,260,0.29523809523809524,0.3230769230769231,0.9138321995464852,73,42,0.6347826086956522
action-1,연제구,연산동,심정지,B,2024,97,36,61,104,262,0.34615384615384615,0.23282442748091603,1.4867591424968474,69,28,0.711340206185567
action-1,연제구,연산동,심정지,B,2020–2022,299,96,203,313,783,0.30670926517571884,0.25925925925925924,1.1830214513920585,197,102,0.6588628762541806
action-1,연제구,연산동,심정지,B,2023–2024,212,67,145,209,522,0.32057416267942584,0.2777777777777778,1.154066985645933,142,70,0.6698113207547169
action-1,연제구,연산동,심정지,C,2020,78,26,52,104,262,0.25,0.1984732824427481,1.2596153846153846,51,27,0.6538461538461539
action-1,연제구,연산동,심정지,C,2021,102,30,72,104,261,0.28846153846153844,0.27586206896551724,1.0456730769230769,71,31,0.696078431372549
action-1,연제구,연산동,심정지,C,2022,119,40,79,105,260,0.38095238095238093,0.3038461538461538,1.253767329716697,75,44,0.6302521008403361
action-1,연제구,연산동,심정지,C,2023,115,31,84,105,260,0.29523809523809524,0.3230769230769231,0.9138321995464852,73,42,0.6347826086956522
action-1,연제구,연산동,심정지,C,2024,97,36,61,104,262,0.34615384615384615,0.23282442748091603,1.4867591424968474,69,28,0.711340206185567
action-1,연제구,연산동,심정지,C,2020–2022,299,96,203,313,783,0.30670926517571884,0.25925925925925924,1.1830214513920585,197,102,0.6588628762541806
action-1,연제구,연산동,심정지,C,2023–2024,212,67,145,209,522,0.32057416267942584,0.2777777777777778,1.154066985645933,142,70,0.6698113207547169
action-2,기장군,기장읍,심정지,A,2020,59,11,48,104,262,0.10576923076923077,0.183206106870229,0.577323717948718,39,20,0.6610169491525424
action-2,기장군,기장읍,심정지,A,2021,85,29,56,104,261,0.27884615384615385,0.21455938697318008,1.2996222527472527,53,32,0.6235294117647059
action-2,기장군,기장읍,심정지,A,2022,111,35,76,105,260,0.3333333333333333,0.2923076923076923,1.1403508771929822,74,37,0.6666666666666666
action-2,기장군,기장읍,심정지,A,2023,109,39,70,105,260,0.37142857142857144,0.2692307692307692,1.379591836734694,73,36,0.6697247706422018
action-2,기장군,기장읍,심정지,A,2024,111,26,85,104,262,0.25,0.3244274809160305,0.7705882352941177,76,35,0.6846846846846847
action-2,기장군,기장읍,심정지,A,2020–2022,255,75,180,313,783,0.23961661341853036,0.22988505747126436,1.042332268370607,166,89,0.6509803921568628
action-2,기장군,기장읍,심정지,A,2023–2024,220,65,155,209,522,0.31100478468899523,0.29693486590038315,1.0473838555332613,149,71,0.6772727272727272
action-2,기장군,기장읍,심정지,B,2020,52,10,42,104,262,0.09615384615384616,0.16030534351145037,0.5998168498168499,33,19,0.6346153846153846
action-2,기장군,기장읍,심정지,B,2021,64,21,43,104,261,0.20192307692307693,0.16475095785440613,1.2256261180679786,40,24,0.625
action-2,기장군,기장읍,심정지,B,2022,85,27,58,105,260,0.2571428571428571,0.2230769230769231,1.1527093596059113,56,29,0.6588235294117647
action-2,기장군,기장읍,심정지,B,2023,78,26,52,105,260,0.24761904761904763,0.2,1.2380952380952381,46,32,0.5897435897435898
action-2,기장군,기장읍,심정지,B,2024,81,19,62,104,262,0.18269230769230768,0.2366412213740458,0.7720223325062034,58,23,0.7160493827160493
action-2,기장군,기장읍,심정지,B,2020–2022,201,58,143,313,783,0.1853035143769968,0.1826309067688378,1.0146339283719474,129,72,0.6417910447761194
action-2,기장군,기장읍,심정지,B,2023–2024,159,45,114,209,522,0.215311004784689,0.21839080459770116,0.9858977587509443,104,55,0.6540880503144654
action-2,기장군,기장읍,심정지,C,2020,52,10,42,104,262,0.09615384615384616,0.16030534351145037,0.5998168498168499,33,19,0.6346153846153846
action-2,기장군,기장읍,심정지,C,2021,64,21,43,104,261,0.20192307692307693,0.16475095785440613,1.2256261180679786,40,24,0.625
action-2,기장군,기장읍,심정지,C,2022,85,27,58,105,260,0.2571428571428571,0.2230769230769231,1.1527093596059113,56,29,0.6588235294117647
action-2,기장군,기장읍,심정지,C,2023,78,26,52,105,260,0.24761904761904763,0.2,1.2380952380952381,46,32,0.5897435897435898
action-2,기장군,기장읍,심정지,C,2024,81,19,62,104,262,0.18269230769230768,0.2366412213740458,0.7720223325062034,58,23,0.7160493827160493
action-2,기장군,기장읍,심정지,C,2020–2022,201,58,143,313,783,0.1853035143769968,0.1826309067688378,1.0146339283719474,129,72,0.6417910447761194
action-2,기장군,기장읍,심정지,C,2023–2024,159,45,114,209,522,0.215311004784689,0.21839080459770116,0.9858977587509443,104,55,0.6540880503144654
action-3,기장군,기장읍,일반화재(주택),A,2020,39,17,22,104,262,0.16346153846153846,0.08396946564885496,1.9466783216783217,22,17,0.5641025641025641
action-3,기장군,기장읍,일반화재(주택),A,2021,38,11,27,104,261,0.10576923076923077,0.10344827586206896,1.0224358974358974,25,13,0.6578947368421053
action-3,기장군,기장읍,일반화재(주택),A,2022,33,6,27,105,260,0.05714285714285714,0.10384615384615385,0.5502645502645502,12,21,0.36363636363636365
action-3,기장군,기장읍,일반화재(주택),A,2023,71,5,66,105,260,0.047619047619047616,0.25384615384615383,0.18759018759018758,38,33,0.5352112676056338
action-3,기장군,기장읍,일반화재(주택),A,2024,128,26,102,104,262,0.25,0.3893129770992366,0.6421568627450981,100,28,0.78125
action-3,기장군,기장읍,일반화재(주택),A,2020–2022,110,34,76,313,783,0.10862619808306709,0.0970625798212005,1.1191356986715992,59,51,0.5363636363636364
action-3,기장군,기장읍,일반화재(주택),A,2023–2024,199,31,168,209,522,0.14832535885167464,0.3218390804597701,0.4608680792891319,138,61,0.6934673366834171
action-3,기장군,기장읍,일반화재(주택),B,2020,16,7,9,104,262,0.0673076923076923,0.03435114503816794,1.959401709401709,8,8,0.5
action-3,기장군,기장읍,일반화재(주택),B,2021,13,4,9,104,261,0.038461538461538464,0.034482758620689655,1.1153846153846154,7,6,0.5384615384615384
action-3,기장군,기장읍,일반화재(주택),B,2022,12,4,8,105,260,0.0380952380952381,0.03076923076923077,1.2380952380952381,3,9,0.25
action-3,기장군,기장읍,일반화재(주택),B,2023,16,2,14,105,260,0.01904761904761905,0.05384615384615385,0.35374149659863946,8,8,0.5
action-3,기장군,기장읍,일반화재(주택),B,2024,19,4,15,104,262,0.038461538461538464,0.05725190839694656,0.6717948717948719,13,6,0.6842105263157895
action-3,기장군,기장읍,일반화재(주택),B,2020–2022,41,15,26,313,783,0.04792332268370607,0.033205619412515965,1.4432292946669942,18,23,0.43902439024390244
action-3,기장군,기장읍,일반화재(주택),B,2023–2024,35,6,29,209,522,0.028708133971291867,0.05555555555555555,0.5167464114832536,21,14,0.6
action-3,기장군,기장읍,일반화재(주택),C,2020,16,7,9,104,262,0.0673076923076923,0.03435114503816794,1.959401709401709,8,8,0.5
action-3,기장군,기장읍,일반화재(주택),C,2021,13,4,9,104,261,0.038461538461538464,0.034482758620689655,1.1153846153846154,7,6,0.5384615384615384
action-3,기장군,기장읍,일반화재(주택),C,2022,12,4,8,105,260,0.0380952380952381,0.03076923076923077,1.2380952380952381,3,9,0.25
action-3,기장군,기장읍,일반화재(주택),C,2023,16,2,14,105,260,0.01904761904761905,0.05384615384615385,0.35374149659863946,8,8,0.5
action-3,기장군,기장읍,일반화재(주택),C,2024,19,4,15,104,262,0.038461538461538464,0.05725190839694656,0.6717948717948719,13,6,0.6842105263157895
action-3,기장군,기장읍,일반화재(주택),C,2020–2022,41,15,26,313,783,0.04792332268370607,0.033205619412515965,1.4432292946669942,18,23,0.43902439024390244
action-3,기장군,기장읍,일반화재(주택),C,2023–2024,35,6,29,209,522,0.028708133971291867,0.05555555555555555,0.5167464114832536,21,14,0.6
action-4,동래구,온천동,일반화재(주택),A,2020,21,11,10,104,262,0.10576923076923077,0.03816793893129771,2.771153846153846,0,21,0.0
action-4,동래구,온천동,일반화재(주택),A,2021,23,9,14,104,261,0.08653846153846154,0.05363984674329502,1.6133241758241756,13,10,0.5652173913043478
action-4,동래구,온천동,일반화재(주택),A,2022,30,10,20,105,260,0.09523809523809523,0.07692307692307693,1.238095238095238,27,3,0.9
action-4,동래구,온천동,일반화재(주택),A,2023,62,58,4,105,260,0.5523809523809524,0.015384615384615385,35.904761904761905,37,25,0.5967741935483871
action-4,동래구,온천동,일반화재(주택),A,2024,18,5,13,104,262,0.04807692307692308,0.04961832061068702,0.9689349112426037,5,13,0.2777777777777778
action-4,동래구,온천동,일반화재(주택),A,2020–2022,74,30,44,313,783,0.09584664536741214,0.0561941251596424,1.7056346209700841,40,34,0.5405405405405406
action-4,동래구,온천동,일반화재(주택),A,2023–2024,80,63,17,209,522,0.3014354066985646,0.032567049808429116,9.255840135097102,42,38,0.525
action-4,동래구,온천동,일반화재(주택),B,2020,7,2,5,104,262,0.019230769230769232,0.019083969465648856,1.0076923076923077,0,7,0.0
action-4,동래구,온천동,일반화재(주택),B,2021,15,5,10,104,261,0.04807692307692308,0.038314176245210725,1.2548076923076925,9,6,0.6
action-4,동래구,온천동,일반화재(주택),B,2022,11,4,7,105,260,0.0380952380952381,0.026923076923076925,1.4149659863945578,9,2,0.8181818181818182
action-4,동래구,온천동,일반화재(주택),B,2023,8,5,3,105,260,0.047619047619047616,0.011538461538461539,4.1269841269841265,5,3,0.625
action-4,동래구,온천동,일반화재(주택),B,2024,12,4,8,104,262,0.038461538461538464,0.030534351145038167,1.2596153846153848,5,7,0.4166666666666667
action-4,동래구,온천동,일반화재(주택),B,2020–2022,33,11,22,313,783,0.03514376996805112,0.0280970625798212,1.2507987220447283,18,15,0.5454545454545454
action-4,동래구,온천동,일반화재(주택),B,2023–2024,20,9,11,209,522,0.0430622009569378,0.0210727969348659,2.0434971726837756,10,10,0.5
action-4,동래구,온천동,일반화재(주택),C,2020,7,2,5,104,262,0.019230769230769232,0.019083969465648856,1.0076923076923077,0,7,0.0
action-4,동래구,온천동,일반화재(주택),C,2021,15,5,10,104,261,0.04807692307692308,0.038314176245210725,1.2548076923076925,9,6,0.6
action-4,동래구,온천동,일반화재(주택),C,2022,11,4,7,105,260,0.0380952380952381,0.026923076923076925,1.4149659863945578,9,2,0.8181818181818182
action-4,동래구,온천동,일반화재(주택),C,2023,8,5,3,105,260,0.047619047619047616,0.011538461538461539,4.1269841269841265,5,3,0.625
action-4,동래구,온천동,일반화재(주택),C,2024,12,4,8,104,262,0.038461538461538464,0.030534351145038167,1.2596153846153848,5,7,0.4166666666666667
action-4,동래구,온천동,일반화재(주택),C,2020–2022,33,11,22,313,783,0.03514376996805112,0.0280970625798212,1.2507987220447283,18,15,0.5454545454545454
action-4,동래구,온천동,일반화재(주택),C,2023–2024,20,9,11,209,522,0.0430622009569378,0.0210727969348659,2.0434971726837756,10,10,0.5
action-5,부산진구,초읍동,산악사고,A,2020,12,2,10,104,262,0.019230769230769232,0.03816793893129771,0.5038461538461538,12,0,1.0
action-5,부산진구,초읍동,산악사고,A,2021,31,21,10,104,261,0.20192307692307693,0.038314176245210725,5.270192307692308,29,2,0.9354838709677419
action-5,부산진구,초읍동,산악사고,A,2022,25,12,13,105,260,0.11428571428571428,0.05,2.2857142857142856,22,3,0.88
action-5,부산진구,초읍동,산악사고,A,2023,13,6,7,105,260,0.05714285714285714,0.026923076923076925,2.1224489795918364,12,1,0.9230769230769231
action-5,부산진구,초읍동,산악사고,A,2024,11,5,6,104,262,0.04807692307692308,0.022900763358778626,2.0993589743589745,11,0,1.0
action-5,부산진구,초읍동,산악사고,A,2020–2022,68,35,33,313,783,0.11182108626198083,0.0421455938697318,2.6532094103979085,63,5,0.9264705882352942
action-5,부산진구,초읍동,산악사고,A,2023–2024,24,11,13,209,522,0.05263157894736842,0.02490421455938697,2.11336032388664,23,1,0.9583333333333334
action-5,부산진구,초읍동,산악사고,B,2020,10,2,8,104,262,0.019230769230769232,0.030534351145038167,0.6298076923076924,10,0,1.0
action-5,부산진구,초읍동,산악사고,B,2021,21,13,8,104,261,0.125,0.03065134099616858,4.078125,20,1,0.9523809523809523
action-5,부산진구,초읍동,산악사고,B,2022,15,7,8,105,260,0.06666666666666667,0.03076923076923077,2.1666666666666665,14,1,0.9333333333333333
action-5,부산진구,초읍동,산악사고,B,2023,9,4,5,105,260,0.0380952380952381,0.019230769230769232,1.980952380952381,9,0,1.0
action-5,부산진구,초읍동,산악사고,B,2024,9,4,5,104,262,0.038461538461538464,0.019083969465648856,2.0153846153846153,9,0,1.0
action-5,부산진구,초읍동,산악사고,B,2020–2022,46,22,24,313,783,0.07028753993610223,0.03065134099616858,2.2931309904153356,44,2,0.9565217391304348
action-5,부산진구,초읍동,산악사고,B,2023–2024,18,8,10,209,522,0.03827751196172249,0.019157088122605363,1.998086124401914,18,0,1.0
action-5,부산진구,초읍동,산악사고,C,2020,10,2,8,104,262,0.019230769230769232,0.030534351145038167,0.6298076923076924,10,0,1.0
action-5,부산진구,초읍동,산악사고,C,2021,21,13,8,104,261,0.125,0.03065134099616858,4.078125,20,1,0.9523809523809523
action-5,부산진구,초읍동,산악사고,C,2022,15,7,8,105,260,0.06666666666666667,0.03076923076923077,2.1666666666666665,14,1,0.9333333333333333
action-5,부산진구,초읍동,산악사고,C,2023,9,4,5,105,260,0.0380952380952381,0.019230769230769232,1.980952380952381,9,0,1.0
action-5,부산진구,초읍동,산악사고,C,2024,9,4,5,104,262,0.038461538461538464,0.019083969465648856,2.0153846153846153,9,0,1.0
action-5,부산진구,초읍동,산악사고,C,2020–2022,46,22,24,313,783,0.07028753993610223,0.03065134099616858,2.2931309904153356,44,2,0.9565217391304348
action-5,부산진구,초읍동,산악사고,C,2023–2024,18,8,10,209,522,0.03827751196172249,0.019157088122605363,1.998086124401914,18,0,1.0
action-6,금정구,금성동,산악사고,A,2020,19,5,14,104,262,0.04807692307692308,0.05343511450381679,0.8997252747252747,17,2,0.8947368421052632
action-6,금정구,금성동,산악사고,A,2021,15,14,1,104,261,0.1346153846153846,0.0038314176245210726,35.13461538461539,14,1,0.9333333333333333
action-6,금정구,금성동,산악사고,A,2022,26,20,6,105,260,0.19047619047619047,0.023076923076923078,8.253968253968253,16,10,0.6153846153846154
action-6,금정구,금성동,산악사고,A,2023,32,13,19,105,260,0.12380952380952381,0.07307692307692308,1.694235588972431,29,3,0.90625
action-6,금정구,금성동,산악사고,A,2024,19,12,7,104,262,0.11538461538461539,0.026717557251908396,4.318681318681319,15,4,0.7894736842105263
action-6,금정구,금성동,산악사고,A,2020–2022,60,39,21,313,783,0.12460063897763578,0.02681992337164751,4.645823824737563,47,13,0.7833333333333333
action-6,금정구,금성동,산악사고,A,2023–2024,51,25,26,209,522,0.11961722488038277,0.04980842911877394,2.4015458225984543,44,7,0.8627450980392157
action-6,금정구,금성동,산악사고,B,2020,7,3,4,104,262,0.028846153846153848,0.015267175572519083,1.889423076923077,7,0,1.0
action-6,금정구,금성동,산악사고,B,2021,10,9,1,104,261,0.08653846153846154,0.0038314176245210726,22.586538461538463,10,0,1.0
action-6,금정구,금성동,산악사고,B,2022,14,9,5,105,260,0.08571428571428572,0.019230769230769232,4.457142857142857,10,4,0.7142857142857143
action-6,금정구,금성동,산악사고,B,2023,17,5,12,105,260,0.047619047619047616,0.046153846153846156,1.0317460317460316,15,2,0.8823529411764706
action-6,금정구,금성동,산악사고,B,2024,13,7,6,104,262,0.0673076923076923,0.022900763358778626,2.939102564102564,10,3,0.7692307692307693
action-6,금정구,금성동,산악사고,B,2020–2022,31,21,10,313,783,0.0670926517571885,0.01277139208173691,5.253354632587859,27,4,0.8709677419354839
action-6,금정구,금성동,산악사고,B,2023–2024,30,12,18,209,522,0.05741626794258373,0.034482758620689655,1.6650717703349283,25,5,0.8333333333333334
action-6,금정구,금성동,산악사고,C,2020,7,3,4,104,262,0.028846153846153848,0.015267175572519083,1.889423076923077,7,0,1.0
action-6,금정구,금성동,산악사고,C,2021,10,9,1,104,261,0.08653846153846154,0.0038314176245210726,22.586538461538463,10,0,1.0
action-6,금정구,금성동,산악사고,C,2022,14,9,5,105,260,0.08571428571428572,0.019230769230769232,4.457142857142857,10,4,0.7142857142857143
action-6,금정구,금성동,산악사고,C,2023,17,5,12,105,260,0.047619047619047616,0.046153846153846156,1.0317460317460316,15,2,0.8823529411764706
action-6,금정구,금성동,산악사고,C,2024,13,7,6,104,262,0.0673076923076923,0.022900763358778626,2.939102564102564,10,3,0.7692307692307693
action-6,금정구,금성동,산악사고,C,2020–2022,31,21,10,313,783,0.0670926517571885,0.01277139208173691,5.253354632587859,27,4,0.8709677419354839
action-6,금정구,금성동,산악사고,C,2023–2024,30,12,18,209,522,0.05741626794258373,0.034482758620689655,1.6650717703349283,25,5,0.8333333333333334
action-7,사하구,다대동,수난사고,A,2020,36,16,20,104,262,0.15384615384615385,0.07633587786259542,2.0153846153846153,22,14,0.6111111111111112
action-7,사하구,다대동,수난사고,A,2021,32,16,16,104,261,0.15384615384615385,0.06130268199233716,2.509615384615385,27,5,0.84375
action-7,사하구,다대동,수난사고,A,2022,18,5,13,105,260,0.047619047619047616,0.05,0.9523809523809523,13,5,0.7222222222222222
