snapshot,year,quarter,level,dictionarySignature,shops,categoryCode,category,denominatorShops,sharePct,districtCode,district,lawDongCode,lawDong,busanSharePct,districtSharePct,differenceFromBusanPP,differenceFromDistrictPP
20200331,2020,1,lawDong,62f6a938f48b,89,G2,소매,295,30.16949152542373,26110,중구,2611010100,영주동,26.742796349643875,42.24980195405334,3.426695175779855,-12.080310428629609
20200331,2020,1,lawDong,62f6a938f48b,11,I1,숙박,295,3.7288135593220337,26110,중구,2611010100,영주동,1.8072164307475493,2.191708476366517,1.9215971285744844,1.5371050829555166
20200331,2020,1,lawDong,62f6a938f48b,83,I2,음식,295,28.135593220338983,26110,중구,2611010100,영주동,35.63034963005948,31.81938209664642,-7.494756409720495,-3.683788876307439
20200331,2020,1,lawDong,62f6a938f48b,9,L1,부동산,295,3.0508474576271185,26110,중구,2611010100,영주동,4.379183851111894,1.7692104568259837,-1.3283363934847756,1.2816370008011349
20200331,2020,1,lawDong,62f6a938f48b,20,M1,과학·기술,295,6.779661016949152,26110,중구,2611010100,영주동,7.009181156867215,6.16583047266966,-0.22952013991806286,0.6138305442794927
20200331,2020,1,lawDong,62f6a938f48b,16,N1,시설관리·임대,295,5.423728813559322,26110,중구,2611010100,영주동,3.280070188528044,4.000528122524425,2.1436586250312777,1.4232006910348964
20200331,2020,1,lawDong,62f6a938f48b,4,P1,교육,295,1.3559322033898304,26110,중구,2611010100,영주동,3.065221446187644,1.0562450488513335,-1.7092892427978135,0.2996871545384969
20200331,2020,1,lawDong,62f6a938f48b,8,R1,예술·스포츠,295,2.711864406779661,26110,중구,2611010100,영주동,4.161571780895732,2.178505413255875,-1.4497073741160715,0.5333589935237857
20200331,2020,1,lawDong,62f6a938f48b,55,S2,수리·개인,295,18.64406779661017,26110,중구,2611010100,영주동,12.764502290107977,7.921837866385001,5.879565506502193,10.722229930225168
20200331,2020,1,lawDong,62f6a938f48b,7,G2,소매,58,12.068965517241379,26110,중구,2611010200,대창동1가,26.742796349643875,42.24980195405334,-14.673830832402496,-30.18083643681196
20200331,2020,1,lawDong,62f6a938f48b,1,I1,숙박,58,1.7241379310344827,26110,중구,2611010200,대창동1가,1.8072164307475493,2.191708476366517,-0.08307849971306669,-0.46757054533203446
20200331,2020,1,lawDong,62f6a938f48b,7,I2,음식,58,12.068965517241379,26110,중구,2611010200,대창동1가,35.63034963005948,31.81938209664642,-23.561384112818097,-19.75041657940504
20200331,2020,1,lawDong,62f6a938f48b,4,L1,부동산,58,6.896551724137931,26110,중구,2611010200,대창동1가,4.379183851111894,1.7692104568259837,2.5173678730260365,5.127341267311947
20200331,2020,1,lawDong,62f6a938f48b,14,M1,과학·기술,58,24.137931034482758,26110,중구,2611010200,대창동1가,7.009181156867215,6.16583047266966,17.128749877615544,17.9721005618131
20200331,2020,1,lawDong,62f6a938f48b,19,N1,시설관리·임대,58,32.758620689655174,26110,중구,2611010200,대창동1가,3.280070188528044,4.000528122524425,29.47855050112713,28.75809256713075
20200331,2020,1,lawDong,62f6a938f48b,1,P1,교육,58,1.7241379310344827,26110,중구,2611010200,대창동1가,3.065221446187644,1.0562450488513335,-1.3410835151531613,0.6678928821831491
20200331,2020,1,lawDong,62f6a938f48b,1,R1,예술·스포츠,58,1.7241379310344827,26110,중구,2611010200,대창동1가,4.161571780895732,2.178505413255875,-2.43743384986125,-0.45436748222139256
20200331,2020,1,lawDong,62f6a938f48b,4,S2,수리·개인,58,6.896551724137931,26110,중구,2611010200,대창동1가,12.764502290107977,7.921837866385001,-5.867950565970046,-1.0252861422470705
20200331,2020,1,lawDong,62f6a938f48b,12,G2,소매,51,23.529411764705884,26110,중구,2611010300,대창동2가,26.742796349643875,42.24980195405334,-3.213384584937991,-18.720390189347455
20200331,2020,1,lawDong,62f6a938f48b,1,I1,숙박,51,1.9607843137254901,26110,중구,2611010300,대창동2가,1.8072164307475493,2.191708476366517,0.15356788297794077,-0.230924162641027
20200331,2020,1,lawDong,62f6a938f48b,8,I2,음식,51,15.686274509803921,26110,중구,2611010300,대창동2가,35.63034963005948,31.81938209664642,-19.944075120255555,-16.1331075868425
20200331,2020,1,lawDong,62f6a938f48b,2,L1,부동산,51,3.9215686274509802,26110,중구,2611010300,대창동2가,4.379183851111894,1.7692104568259837,-0.4576152236609139,2.1523581706249963
20200331,2020,1,lawDong,62f6a938f48b,9,M1,과학·기술,51,17.647058823529413,26110,중구,2611010300,대창동2가,7.009181156867215,6.16583047266966,10.637877666662199,11.481228350859753
20200331,2020,1,lawDong,62f6a938f48b,15,N1,시설관리·임대,51,29.41176470588235,26110,중구,2611010300,대창동2가,3.280070188528044,4.000528122524425,26.13169451735431,25.411236583357926
20200331,2020,1,lawDong,62f6a938f48b,3,P1,교육,51,5.882352941176471,26110,중구,2611010300,대창동2가,3.065221446187644,1.0562450488513335,2.817131494988827,4.826107892325138
20200331,2020,1,lawDong,62f6a938f48b,1,Q1,보건의료,51,1.9607843137254901,26110,중구,2611010300,대창동2가,1.1599068758505868,0.6469500924214417,0.8008774378749033,1.3138342213040484
20200331,2020,1,lawDong,62f6a938f48b,7,G2,소매,55,12.727272727272727,26110,중구,2611010400,중앙동1가,26.742796349643875,42.24980195405334,-14.015523622371148,-29.522529226780613
20200331,2020,1,lawDong,62f6a938f48b,2,I1,숙박,55,3.6363636363636362,26110,중구,2611010400,중앙동1가,1.8072164307475493,2.191708476366517,1.829147205616087,1.4446551599971191
20200331,2020,1,lawDong,62f6a938f48b,31,I2,음식,55,56.36363636363637,26110,중구,2611010400,중앙동1가,35.63034963005948,31.81938209664642,20.73328673357689,24.544254266989945
20200331,2020,1,lawDong,62f6a938f48b,2,L1,부동산,55,3.6363636363636362,26110,중구,2611010400,중앙동1가,4.379183851111894,1.7692104568259837,-0.7428202147482579,1.8671531795376526
20200331,2020,1,lawDong,62f6a938f48b,9,M1,과학·기술,55,16.363636363636363,26110,중구,2611010400,중앙동1가,7.009181156867215,6.16583047266966,9.354455206769149,10.197805890966704
20200331,2020,1,lawDong,62f6a938f48b,2,N1,시설관리·임대,55,3.6363636363636362,26110,중구,2611010400,중앙동1가,3.280070188528044,4.000528122524425,0.35629344783559214,-0.3641644861607891
20200331,2020,1,lawDong,62f6a938f48b,1,P1,교육,55,1.8181818181818181,26110,중구,2611010400,중앙동1가,3.065221446187644,1.0562450488513335,-1.2470396280058258,0.7619367693304846
20200331,2020,1,lawDong,62f6a938f48b,1,R1,예술·스포츠,55,1.8181818181818181,26110,중구,2611010400,중앙동1가,4.161571780895732,2.178505413255875,-2.343389962713914,-0.3603235950740571
20200331,2020,1,lawDong,62f6a938f48b,20,G2,소매,119,16.80672268907563,26110,중구,2611010500,중앙동2가,26.742796349643875,42.24980195405334,-9.936073660568244,-25.443079264977708
20200331,2020,1,lawDong,62f6a938f48b,7,I1,숙박,119,5.882352941176471,26110,중구,2611010500,중앙동2가,1.8072164307475493,2.191708476366517,4.075136510428922,3.690644464809954
20200331,2020,1,lawDong,62f6a938f48b,57,I2,음식,119,47.89915966386555,26110,중구,2611010500,중앙동2가,35.63034963005948,31.81938209664642,12.26881003380607,16.079777567219125
20200331,2020,1,lawDong,62f6a938f48b,11,M1,과학·기술,119,9.243697478991596,26110,중구,2611010500,중앙동2가,7.009181156867215,6.16583047266966,2.2345163221243807,3.077867006321936
20200331,2020,1,lawDong,62f6a938f48b,10,N1,시설관리·임대,119,8.403361344537815,26110,중구,2611010500,중앙동2가,3.280070188528044,4.000528122524425,5.123291156009771,4.40283322201339
20200331,2020,1,lawDong,62f6a938f48b,3,P1,교육,119,2.5210084033613445,26110,중구,2611010500,중앙동2가,3.065221446187644,1.0562450488513335,-0.5442130428262995,1.464763354510011
20200331,2020,1,lawDong,62f6a938f48b,1,Q1,보건의료,119,0.8403361344537815,26110,중구,2611010500,중앙동2가,1.1599068758505868,0.6469500924214417,-0.3195707413968053,0.19338604203233978
20200331,2020,1,lawDong,62f6a938f48b,3,R1,예술·스포츠,119,2.5210084033613445,26110,중구,2611010500,중앙동2가,4.161571780895732,2.178505413255875,-1.640563377534388,0.34250299010546925
20200331,2020,1,lawDong,62f6a938f48b,7,S2,수리·개인,119,5.882352941176471,26110,중구,2611010500,중앙동2가,12.764502290107977,7.921837866385001,-6.882149348931506,-2.03948492520853
20200331,2020,1,lawDong,62f6a938f48b,17,G2,소매,113,15.044247787610619,26110,중구,2611010600,중앙동3가,26.742796349643875,42.24980195405334,-11.698548562033256,-27.20555416644272
20200331,2020,1,lawDong,62f6a938f48b,44,I2,음식,113,38.93805309734513,26110,중구,2611010600,중앙동3가,35.63034963005948,31.81938209664642,3.3077034672856556,7.118671000698711
20200331,2020,1,lawDong,62f6a938f48b,1,L1,부동산,113,0.8849557522123894,26110,중구,2611010600,중앙동3가,4.379183851111894,1.7692104568259837,-3.4942280988995047,-0.8842547046135942
20200331,2020,1,lawDong,62f6a938f48b,20,M1,과학·기술,113,17.699115044247787,26110,중구,2611010600,중앙동3가,7.009181156867215,6.16583047266966,10.689933887380572,11.533284571578127
20200331,2020,1,lawDong,62f6a938f48b,16,N1,시설관리·임대,113,14.15929203539823,26110,중구,2611010600,중앙동3가,3.280070188528044,4.000528122524425,10.879221846870188,10.158763912873805
20200331,2020,1,lawDong,62f6a938f48b,5,P1,교육,113,4.424778761061947,26110,중구,2611010600,중앙동3가,3.065221446187644,1.0562450488513335,1.3595573148743028,3.3685337122106134
20200331,2020,1,lawDong,62f6a938f48b,1,Q1,보건의료,113,0.8849557522123894,26110,중구,2611010600,중앙동3가,1.1599068758505868,0.6469500924214417,-0.2749511236381974,0.23800565979094768
20200331,2020,1,lawDong,62f6a938f48b,3,R1,예술·스포츠,113,2.6548672566371683,26110,중구,2611010600,중앙동3가,4.161571780895732,2.178505413255875,-1.5067045242585642,0.47636184338129306
20200331,2020,1,lawDong,62f6a938f48b,6,S2,수리·개인,113,5.3097345132743365,26110,중구,2611010600,중앙동3가,12.764502290107977,7.921837866385001,-7.4547677768336404,-2.6121033531106645
20200331,2020,1,lawDong,62f6a938f48b,76,G2,소매,685,11.094890510948906,26110,중구,2611010700,중앙동4가,26.742796349643875,42.24980195405334,-15.64790583869497,-31.15491144310443
20200331,2020,1,lawDong,62f6a938f48b,8,I1,숙박,685,1.167883211678832,26110,중구,2611010700,중앙동4가,1.8072164307475493,2.191708476366517,-0.6393332190687173,-1.023825264687685
20200331,2020,1,lawDong,62f6a938f48b,288,I2,음식,685,42.043795620437955,26110,중구,2611010700,중앙동4가,35.63034963005948,31.81938209664642,6.413445990378477,10.224413523791533
20200331,2020,1,lawDong,62f6a938f48b,7,L1,부동산,685,1.0218978102189782,26110,중구,2611010700,중앙동4가,4.379183851111894,1.7692104568259837,-3.357286040892916,-0.7473126466070055
20200331,2020,1,lawDong,62f6a938f48b,108,M1,과학·기술,685,15.766423357664234,26110,중구,2611010700,중앙동4가,7.009181156867215,6.16583047266966,8.75724220079702,9.600592884994574
20200331,2020,1,lawDong,62f6a938f48b,135,N1,시설관리·임대,685,19.708029197080293,26110,중구,2611010700,중앙동4가,3.280070188528044,4.000528122524425,16.42795900855225,15.707501074555868
20200331,2020,1,lawDong,62f6a938f48b,13,P1,교육,685,1.897810218978102,26110,중구,2611010700,중앙동4가,3.065221446187644,1.0562450488513335,-1.1674112272095418,0.8415651701267686
