dong,matched_inspection_rows,fire_defect_rows,escape_defect_rows,onsite_correction_rows,scope
기장읍,1,1,0,1,공식 주소/단지명으로 연결된 조사표 일부; 해당 동 전체 조사 결과 아님
범전동,1,1,0,0,공식 주소/단지명으로 연결된 조사표 일부; 해당 동 전체 조사 결과 아님
부전1동,1,1,0,0,공식 주소/단지명으로 연결된 조사표 일부; 해당 동 전체 조사 결과 아님
연산동,2,0,0,0,공식 주소/단지명으로 연결된 조사표 일부; 해당 동 전체 조사 결과 아님
초읍동,1,0,0,0,공식 주소/단지명으로 연결된 조사표 일부; 해당 동 전체 조사 결과 아님
