fieldStudyArea,district,rawDong,minQuarterShops,maxQuarterShops,minFoodRetailSharePct,maxFoodRetailSharePct,interpretation
부전시장,부산진구,부전동,6216,7064,63.40600226500566,64.1730438856786,파일에 등록된 업소구성 민감도. 실개업·폐업 변화를 입증하지 않음.
못골시장,남구,대연동,4314,4826,55.594695399917114,56.94076038903625,파일에 등록된 업소구성 민감도. 실개업·폐업 변화를 입증하지 않음.
광안역 주변,수영구,광안동,3203,3714,56.54281098546042,58.0221093516582,파일에 등록된 업소구성 민감도. 실개업·폐업 변화를 입증하지 않음.
신평역 주변,사하구,신평동,1081,1188,56.70675300647549,58.19158460161146,파일에 등록된 업소구성 민감도. 실개업·폐업 변화를 입증하지 않음.
