행정동코드,행정동명,나이대,평균주거인구수,평균직장인구수,평균방문인구수,aggregation,months
2611059000,중구 영주1동,50대,52.0,22.833333333333332,77.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611059000,중구 영주1동,60대이상,131.58333333333334,21.75,113.33333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611060000,중구 영주2동,20대,407.5,41.083333333333336,124.83333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611060000,중구 영주2동,20대미만,298.75,28.75,71.83333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611060000,중구 영주2동,30대,374.0,52.916666666666664,123.16666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611060000,중구 영주2동,40대,534.0833333333334,67.25,147.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611060000,중구 영주2동,50대,887.5,94.16666666666667,211.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611060000,중구 영주2동,60대이상,2667.8333333333335,96.66666666666667,471.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614051000,서구 동대신1동,20대,339.3333333333333,39.333333333333336,157.16666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614051000,서구 동대신1동,20대미만,275.3333333333333,16.75,121.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614051000,서구 동대신1동,30대,396.75,44.666666666666664,131.41666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614051000,서구 동대신1동,40대,478.6666666666667,51.25,164.33333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614051000,서구 동대신1동,50대,573.1666666666666,69.75,213.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614051000,서구 동대신1동,60대이상,1523.4166666666667,90.58333333333333,396.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614052000,서구 동대신2동,20대,177.5,13.833333333333334,52.916666666666664,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614052000,서구 동대신2동,20대미만,128.08333333333334,16.833333333333332,50.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614052000,서구 동대신2동,30대,150.08333333333334,12.25,44.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614052000,서구 동대신2동,40대,297.9166666666667,30.0,70.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614052000,서구 동대신2동,50대,405.4166666666667,36.333333333333336,82.41666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614052000,서구 동대신2동,60대이상,1469.4166666666667,42.25,201.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614053000,서구 동대신3동,20대,752.6666666666666,326.0,545.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614053000,서구 동대신3동,20대미만,528.9166666666666,218.25,390.5833333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614053000,서구 동대신3동,30대,503.9166666666667,272.8333333333333,441.5833333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614053000,서구 동대신3동,40대,659.9166666666666,275.75,553.6666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614053000,서구 동대신3동,50대,783.9166666666666,286.1666666666667,665.6666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2614053000,서구 동대신3동,60대이상,2216.6666666666665,205.25,1398.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
