snapshot,year,quarter,level,dictionarySignature,shops,categoryCode,category,denominatorShops,sharePct,districtCode,district,lawDongCode,lawDong
20200331,2020,1,busan,62f6a938f48b,38711,G2,소매,144753,26.742796349643875,,,,
20200331,2020,1,busan,62f6a938f48b,2616,I1,숙박,144753,1.8072164307475493,,,,
20200331,2020,1,busan,62f6a938f48b,51576,I2,음식,144753,35.63034963005948,,,,
20200331,2020,1,busan,62f6a938f48b,6339,L1,부동산,144753,4.379183851111894,,,,
20200331,2020,1,busan,62f6a938f48b,10146,M1,과학·기술,144753,7.009181156867215,,,,
20200331,2020,1,busan,62f6a938f48b,4748,N1,시설관리·임대,144753,3.280070188528044,,,,
20200331,2020,1,busan,62f6a938f48b,4437,P1,교육,144753,3.065221446187644,,,,
20200331,2020,1,busan,62f6a938f48b,1679,Q1,보건의료,144753,1.1599068758505868,,,,
20200331,2020,1,busan,62f6a938f48b,6024,R1,예술·스포츠,144753,4.161571780895732,,,,
20200331,2020,1,busan,62f6a938f48b,18477,S2,수리·개인,144753,12.764502290107977,,,,
20200331,2020,1,district,62f6a938f48b,3200,G2,소매,7574,42.24980195405334,26110,중구,,
20200331,2020,1,district,62f6a938f48b,166,I1,숙박,7574,2.191708476366517,26110,중구,,
20200331,2020,1,district,62f6a938f48b,2410,I2,음식,7574,31.81938209664642,26110,중구,,
20200331,2020,1,district,62f6a938f48b,134,L1,부동산,7574,1.7692104568259837,26110,중구,,
20200331,2020,1,district,62f6a938f48b,467,M1,과학·기술,7574,6.16583047266966,26110,중구,,
20200331,2020,1,district,62f6a938f48b,303,N1,시설관리·임대,7574,4.000528122524425,26110,중구,,
20200331,2020,1,district,62f6a938f48b,80,P1,교육,7574,1.0562450488513335,26110,중구,,
20200331,2020,1,district,62f6a938f48b,49,Q1,보건의료,7574,0.6469500924214417,26110,중구,,
20200331,2020,1,district,62f6a938f48b,165,R1,예술·스포츠,7574,2.178505413255875,26110,중구,,
20200331,2020,1,district,62f6a938f48b,600,S2,수리·개인,7574,7.921837866385001,26110,중구,,
20200331,2020,1,district,62f6a938f48b,1005,G2,소매,3786,26.545166402535656,26140,서구,,
20200331,2020,1,district,62f6a938f48b,117,I1,숙박,3786,3.0903328050713155,26140,서구,,
20200331,2020,1,district,62f6a938f48b,1485,I2,음식,3786,39.223454833597465,26140,서구,,
20200331,2020,1,district,62f6a938f48b,126,L1,부동산,3786,3.3280507131537242,26140,서구,,
20200331,2020,1,district,62f6a938f48b,181,M1,과학·기술,3786,4.780771262546223,26140,서구,,
20200331,2020,1,district,62f6a938f48b,107,N1,시설관리·임대,3786,2.826201796090861,26140,서구,,
20200331,2020,1,district,62f6a938f48b,83,P1,교육,3786,2.192287374537771,26140,서구,,
20200331,2020,1,district,62f6a938f48b,39,Q1,보건의료,3786,1.0301109350237718,26140,서구,,
20200331,2020,1,district,62f6a938f48b,124,R1,예술·스포츠,3786,3.2752245113576333,26140,서구,,
20200331,2020,1,district,62f6a938f48b,519,S2,수리·개인,3786,13.708399366085578,26140,서구,,
20200331,2020,1,district,62f6a938f48b,2510,G2,소매,6480,38.73456790123457,26170,동구,,
20200331,2020,1,district,62f6a938f48b,190,I1,숙박,6480,2.932098765432099,26170,동구,,
20200331,2020,1,district,62f6a938f48b,1879,I2,음식,6480,28.996913580246915,26170,동구,,
20200331,2020,1,district,62f6a938f48b,164,L1,부동산,6480,2.5308641975308643,26170,동구,,
20200331,2020,1,district,62f6a938f48b,492,M1,과학·기술,6480,7.592592592592593,26170,동구,,
20200331,2020,1,district,62f6a938f48b,371,N1,시설관리·임대,6480,5.7253086419753085,26170,동구,,
20200331,2020,1,district,62f6a938f48b,95,P1,교육,6480,1.4660493827160495,26170,동구,,
20200331,2020,1,district,62f6a938f48b,43,Q1,보건의료,6480,0.6635802469135802,26170,동구,,
