district,rawDong,residentCandidates,livingCandidates,commerceExactLawCode,commerceSnapshots,housingCandidateNames,aedOperatingEvidence,officialCaseEvidence,officialInspectionSites,candidateCodes,actualReceiptDongConfirmed
사하구,다대동,2,2,True,20,0,False,True,0,2638060100|2638060200,False
사하구,당리동,1,1,True,20,1,False,False,1,2638055000,False
사하구,신평동,2,2,True,20,0,False,False,0,2638057100|2638057200,False
사하구,장림동,2,2,True,20,0,False,False,0,2638058000|2638059000,False
사하구,하단동,2,2,True,20,0,False,False,0,2638056100|2638056200,False
서구,남부민동,2,2,True,20,0,False,False,0,2614065000|2614066000,False
서구,동대신동1가,1,1,True,20,0,False,False,0,2614051000,False
서구,동대신동2가,1,1,True,20,0,False,False,0,2614052000,False
서구,동대신동3가,1,1,True,20,0,False,False,0,2614053000,False
서구,부민동1가,1,1,True,20,1,False,False,0,2614059000,False
서구,부민동2가,1,1,True,20,1,False,False,0,2614059000,False
서구,부민동3가,1,1,True,20,1,False,False,0,2614059000,False
서구,부용동1가,1,1,True,20,1,False,False,0,2614059000,False
서구,부용동2가,1,1,True,20,1,False,False,0,2614059000,False
서구,서대신동1가,1,1,True,20,0,False,False,0,2614054000,False
서구,서대신동2가,1,1,True,20,0,False,False,0,2614054000,False
서구,서대신동3가,2,2,True,20,0,False,False,0,2614056000|2614057000,False
서구,아미동1가,1,1,True,20,1,False,False,0,2614061500,False
서구,아미동2가,1,1,True,20,1,False,False,0,2614061500,False
서구,암남동,1,1,True,20,1,False,False,0,2614068000,False
서구,초장동,1,1,True,20,1,False,False,0,2614063000,False
서구,충무동1가,1,1,True,20,1,False,False,0,2614064000,False
서구,충무동2가,1,1,True,20,1,False,False,0,2614064000,False
서구,충무동3가,1,1,True,20,1,False,False,0,2614064000,False
서구,토성동1가,1,1,True,20,1,False,False,0,2614064000,False
서구,토성동2가,1,1,True,20,1,False,False,0,2614064000,False
서구,토성동3가,1,1,True,20,1,False,False,0,2614064000,False
서구,토성동4가,1,1,True,20,1,False,False,0,2614064000,False
서구,토성동5가,1,1,True,20,1,False,False,0,2614064000,False
수영구,광안동,4,4,True,20,0,False,True,1,2650076000|2650077000|2650078000|2650079000,False
수영구,남천동,2,2,True,20,0,False,False,0,2650066000|2650067000,False
수영구,망미동,2,2,True,20,0,False,False,1,2650074000|2650075000,False
수영구,민락동,1,1,True,20,1,False,False,0,2650080000,False
수영구,수영동,1,1,True,20,1,False,False,0,2650073000,False
연제구,거제동,4,4,True,20,0,False,False,1,2647061000|2647062000|2647063000|2647064000,False
연제구,연산동,8,8,True,20,0,True,True,0,2647065000|2647066000|2647067000|2647068000|2647069000|2647070000|2647072000|2647073000,False
영도구,남항동1가,1,1,True,20,1,False,False,0,2620053000,False
영도구,남항동2가,1,1,True,20,1,False,False,0,2620053000,False
영도구,남항동3가,1,1,True,20,1,False,False,0,2620053000,False
영도구,대교동1가,1,1,True,20,1,False,False,0,2620053000,False
