minimumEachYear,eligibleCombinations,finiteRatioPairs,ratioCrossesOne,ratioCrosses09and11,meaning
1,325,322,144,108,각 기준별 민감도; 정책 후보 통과선 아님. 0.9/1.1은 1배 주변 작은 변동을 별도 표시하기 위한 보조 비교.
5,167,167,63,41,각 기준별 민감도; 정책 후보 통과선 아님. 0.9/1.1은 1배 주변 작은 변동을 별도 표시하기 위한 보조 비교.
10,119,119,45,28,각 기준별 민감도; 정책 후보 통과선 아님. 0.9/1.1은 1배 주변 작은 변동을 별도 표시하기 위한 보조 비교.
20,86,86,32,19,각 기준별 민감도; 정책 후보 통과선 아님. 0.9/1.1은 1배 주변 작은 변동을 별도 표시하기 위한 보조 비교.
