CLMTY_SGG_NM,CLMTY_EMD_NM,EMRG_RSCU_ASSRT_NM,EMRG_RSCU_CLSF_NM,scope,period,priorStable,beforeMobile,afterMobile,mobileRetention,beforeWeekendRatio,afterWeekendRatio,weekendDirectionReversed,weekendBeyond09_11,dayShareChangePP,hourTVD,beforeAll,afterAll,removedOtherChannels,removedWithinMobile,otherChannelsSurviving
강서구,강동동,구급,교통사고,A,2020,True,29,26,0.896551724137931,0.2906804733727811,0.32859531772575257,False,False,-2.3872679045092826,0.08355437665782495,46,26,17,3,0
강서구,강동동,구급,교통사고,A,2020–2024,True,148,144,0.972972972972973,0.4838709677419355,0.5,False,False,-0.6193693693693603,0.022334834834834817,238,144,90,4,0
강서구,강동동,구급,교통사고,A,2021,True,21,21,1.0,0.4182692307692308,0.4182692307692308,False,False,0.0,0.0,33,21,12,0,0
강서구,강동동,구급,교통사고,A,2022,True,28,28,1.0,0.2971428571428571,0.2971428571428571,False,False,0.0,0.0,42,28,14,0,0
강서구,강동동,구급,교통사고,A,2023,True,35,34,0.9714285714285714,0.8571428571428571,0.8914285714285713,False,False,-0.5882352941176561,0.02689075630252103,55,34,20,1,0
강서구,강동동,구급,교통사고,A,2024,True,35,35,1.0,0.5212201591511937,0.5212201591511937,False,False,0.0,0.0,62,35,27,0,0
강서구,강동동,구급,교통사고,B,2020,True,24,21,0.875,0.35989010989010994,0.4198717948717949,False,False,-2.3809523809523836,0.10119047619047619,34,21,10,3,0
강서구,강동동,구급,교통사고,B,2020–2024,True,121,117,0.9669421487603306,0.5555555555555556,0.5789473684210527,False,False,-0.6781097690188642,0.0274069364978456,180,117,59,4,0
강서구,강동동,구급,교통사고,B,2021,True,20,20,1.0,0.44287330316742085,0.44287330316742085,False,False,0.0,0.0,30,20,10,0,0
강서구,강동동,구급,교통사고,B,2022,True,21,21,1.0,0.4126984126984127,0.4126984126984127,False,False,0.0,0.0,31,21,10,0,0
강서구,강동동,구급,교통사고,B,2023,True,29,28,0.9655172413793104,0.7878787878787878,0.8253968253968254,False,False,-0.7389162561576401,0.033251231527093576,44,28,15,1,0
강서구,강동동,구급,교통사고,B,2024,True,27,27,1.0,0.7197802197802199,0.7197802197802199,False,False,0.0,0.0,41,27,14,0,0
강서구,강동동,구급,교통사고,C,2020,True,24,21,0.875,0.35989010989010994,0.4198717948717949,False,False,-2.3809523809523836,0.10119047619047619,34,21,10,3,0
