caseId,receiptDistrict,receiptRawDong,receiptSubtype,year,referenceDate,districtCode,district,candidateCode,candidateName,candidateCount,linkStatus,geographyConfirmed,total,age,ageLabel,count,share
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,32,32세,195,0.011856265580349
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,33,33세,159,0.009667416550130722
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,34,34세,213,0.012950690095458139
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,35,35세,214,0.013011491457408646
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,36,36세,210,0.012768286009606614
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,37,37세,221,0.0134371009910622
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,38,38세,262,0.015929956831033015
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,39,39세,305,0.018544415394904847
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,40,40세,303,0.01842281267100383
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,41,41세,268,0.01629476500273606
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,42,42세,226,0.013741107800814738
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,43,43세,242,0.014713929592022862
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,44,44세,205,0.012464279199854076
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,45,45세,237,0.014409922782270324
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,46,46세,241,0.014653128230072353
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,47,47세,254,0.015443545935428954
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,48,48세,270,0.016416367726637078
action-1,연제구,연산동,심정지,2020,2020-12-31,2647000000,연제구,2647065000,연산제1동,8,복수 코드 후보·각각 표시,False,16447,49,49세,235,0.014288320058369308
