행정동코드,행정동명,시간대,평균주거인구수,평균직장인구수,평균방문인구수,aggregation,months
2611052000,중구 동광동,16시,1352.1666666666667,1008.5833333333334,1251.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611052000,중구 동광동,17시,1408.9166666666667,908.6666666666666,1183.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611052000,중구 동광동,18시,1485.6666666666667,633.4166666666666,1179.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611052000,중구 동광동,19시,1561.4166666666667,348.5833333333333,1158.0833333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611052000,중구 동광동,20시,1718.75,184.83333333333334,1139.0833333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611052000,중구 동광동,21시,1802.0833333333333,129.58333333333334,1078.3333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611052000,중구 동광동,22시,1860.75,84.58333333333333,990.6666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611052000,중구 동광동,23시,1880.25,56.75,916.6666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,00시,5425.666666666667,87.58333333333333,1028.3333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,01시,5491.666666666667,83.08333333333333,1015.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,02시,5551.166666666667,81.58333333333333,1009.3333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,03시,5590.833333333333,82.0,1004.4166666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,04시,5613.75,83.33333333333333,1005.6666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,05시,5595.5,89.41666666666667,1039.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,06시,5458.5,123.08333333333333,1158.75,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,07시,5233.833333333333,352.6666666666667,1303.8333333333333,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2611053000,중구 대청동,08시,4829.583333333333,1199.9166666666667,1575.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
