year,code,name,populationType,observedMonths,nameMissing,peakHours,maximum,midnight,noon,noonToMidnight
2023,2611051000,중구 중앙동,평균주거인구수,12,False,04시,6693.083333333333,6403.333333333333,3982.25,0.6219026548672567
2023,2611051000,중구 중앙동,평균직장인구수,12,False,14시,11841.916666666666,457.75,11391.75,24.88640087383943
2023,2611051000,중구 중앙동,평균방문인구수,12,False,14시,10602.333333333334,4144.166666666667,9850.916666666666,2.377056102955962
2023,2611052000,중구 동광동,평균주거인구수,12,False,04시,1852.0833333333333,1778.4166666666667,1225.8333333333333,0.6892835387282694
2023,2611052000,중구 동광동,평균직장인구수,12,False,14시,962.5,36.166666666666664,906.6666666666666,25.069124423963135
2023,2611052000,중구 동광동,평균방문인구수,12,False,12시,1420.9166666666667,846.5833333333334,1420.9166666666667,1.6784132296485874
2023,2611053000,중구 대청동,평균주거인구수,12,False,04시,5767.75,5562.916666666667,3655.4166666666665,0.6571043367538012
2023,2611053000,중구 대청동,평균직장인구수,12,False,14시,3011.8333333333335,118.0,2870.25,24.324152542372882
2023,2611053000,중구 대청동,평균방문인구수,12,False,14시,4189.583333333333,1284.5833333333333,3661.9166666666665,2.850664936749919
2023,2611054500,중구 보수동,평균주거인구수,12,False,05시,7022.833333333333,6711.583333333333,4134.5,0.6160245346974758
2023,2611054500,중구 보수동,평균직장인구수,12,False,16시,1461.9166666666667,74.41666666666667,1361.5,18.295632698768195
2023,2611054500,중구 보수동,평균방문인구수,12,False,12시,2106.8333333333335,957.6666666666666,2106.8333333333335,2.199965193177863
2023,2611056000,중구 부평동,평균주거인구수,12,False,04시,4092.5,3980.8333333333335,2671.8333333333335,0.6711743772241993
2023,2611056000,중구 부평동,평균직장인구수,12,False,15시,2542.5833333333335,228.75,2371.0,10.365027322404371
2023,2611056000,중구 부평동,평균방문인구수,12,False,19시,8586.333333333334,4830.0,6068.583333333333,1.2564354727398206
2023,2611057000,중구 광복동,평균주거인구수,12,False,06시,387.3333333333333,368.6666666666667,314.75,0.8537522603978299
2023,2611057000,중구 광복동,평균직장인구수,12,False,15시,1553.9166666666667,62.833333333333336,1396.3333333333333,22.22281167108753
2023,2611057000,중구 광복동,평균방문인구수,12,False,15시,3897.1666666666665,522.5833333333334,2989.75,5.721097113697974
2023,2611058000,중구 남포동,평균주거인구수,12,False,06시,2263.5833333333335,2044.5,1770.5833333333333,0.8660226624276514
2023,2611058000,중구 남포동,평균직장인구수,12,False,15시,5369.25,251.08333333333334,4879.916666666667,19.435446398937938
2023,2611058000,중구 남포동,평균방문인구수,12,False,14시,13300.25,3561.0833333333335,10816.5,3.037418388598975
2023,2611059000,중구 영주1동,평균주거인구수,12,False,04시|05시,367.0,346.1666666666667,201.08333333333334,0.5808858931150698
2023,2611059000,중구 영주1동,평균직장인구수,12,False,14시,191.91666666666666,11.166666666666666,182.0,16.29850746268657
2023,2611059000,중구 영주1동,평균방문인구수,12,False,12시,514.1666666666666,324.75,514.1666666666666,1.5832691814216062
2023,2611060000,중구 영주2동,평균주거인구수,12,False,04시,6723.916666666667,6594.333333333333,3996.5833333333335,0.6060632866602639
2023,2611060000,중구 영주2동,평균직장인구수,12,False,16시,790.5,52.25,751.4166666666666,14.381180223285485
2023,2611060000,중구 영주2동,평균방문인구수,12,False,11시,1554.0,1112.0,1522.3333333333333,1.3690047961630696
2023,2614051000,서구 동대신1동,평균주거인구수,12,False,04시,4825.916666666667,4647.666666666667,2710.9166666666665,0.5832855196155776
2023,2614051000,서구 동대신1동,평균직장인구수,12,False,16시,655.75,70.0,611.8333333333334,8.74047619047619
2023,2614051000,서구 동대신1동,평균방문인구수,12,False,12시,1457.25,1045.4166666666667,1457.25,1.393941809485851
2023,2614052000,서구 동대신2동,평균주거인구수,12,False,05시,3177.0,3093.75,2034.6666666666667,0.6576700336700337
2023,2614052000,서구 동대신2동,평균직장인구수,12,False,13시,298.5833333333333,27.0,298.25,11.046296296296296
2023,2614052000,서구 동대신2동,평균방문인구수,12,False,12시,697.0,460.75,697.0,1.5127509495387954
2023,2614053000,서구 동대신3동,평균주거인구수,12,False,04시,6934.083333333333,6729.916666666667,4291.5,0.6376750578882848
2023,2614053000,서구 동대신3동,평균직장인구수,12,False,15시,3327.0,231.16666666666666,3167.0,13.700072098053353
2023,2614053000,서구 동대신3동,평균방문인구수,12,False,14시,5786.25,2983.75,5472.833333333333,1.8342130987292276
2023,2614054000,서구 서대신1동,평균주거인구수,12,False,04시,13872.166666666666,13547.916666666666,7295.916666666667,0.5385268337690298
2023,2614054000,서구 서대신1동,평균직장인구수,12,False,16시,2217.5833333333335,168.83333333333334,2008.0833333333333,11.893879565646593
2023,2614054000,서구 서대신1동,평균방문인구수,12,False,19시,3308.9166666666665,2064.1666666666665,2861.25,1.386152603956399
2023,2614056000,서구 서대신3동,평균주거인구수,12,False,05시,3584.6666666666665,3437.1666666666665,1897.0833333333333,0.5519323085874994
2023,2614056000,서구 서대신3동,평균직장인구수,12,False,09시,922.9166666666666,62.5,919.8333333333334,14.717333333333334
2023,2614056000,서구 서대신3동,평균방문인구수,12,False,10시,1451.0,778.0833333333334,1353.3333333333333,1.739316697011888
2023,2614057000,서구 서대신4동,평균주거인구수,12,False,04시,6721.416666666667,6547.666666666667,3697.75,0.5647431655042509
2023,2614057000,서구 서대신4동,평균직장인구수,12,False,13시,1004.1666666666666,60.5,1003.75,16.59090909090909
2023,2614057000,서구 서대신4동,평균방문인구수,12,False,12시,2923.5,1255.6666666666667,2923.5,2.328245288027608
2023,2614059000,서구 부민동,평균주거인구수,12,False,05시,4382.083333333333,4244.083333333333,2607.6666666666665,0.6144240020420586
2023,2614059000,서구 부민동,평균직장인구수,12,False,15시,1403.0,78.75,1311.9166666666667,16.65925925925926
2023,2614059000,서구 부민동,평균방문인구수,12,False,13시,2049.3333333333335,830.9166666666666,2040.5,2.4557215926185942
2023,2614061500,서구 아미동,평균주거인구수,12,False,05시,5239.833333333333,5105.5,3453.25,0.6763784154343355
2023,2614061500,서구 아미동,평균직장인구수,12,False,14시,1080.3333333333333,64.5,1025.25,15.895348837209303
2023,2614061500,서구 아미동,평균방문인구수,12,False,14시,2432.0,1341.5,2317.0,1.7271710771524413
2023,2614063000,서구 초장동,평균주거인구수,12,False,04시,3916.0,3797.75,2448.6666666666665,0.6447677352818555
2023,2614063000,서구 초장동,평균직장인구수,12,False,14시,452.4166666666667,40.166666666666664,431.0,10.730290456431536
2023,2614063000,서구 초장동,평균방문인구수,12,False,12시,1063.1666666666667,818.5,1063.1666666666667,1.2989207900631237
2023,2614064000,서구 충무동,평균주거인구수,12,False,04시,6081.916666666667,5768.333333333333,3753.5,0.6507078878936724
2023,2614064000,서구 충무동,평균직장인구수,12,False,14시,1730.75,94.91666666666667,1646.5,17.346795434591748
2023,2614064000,서구 충무동,평균방문인구수,12,False,12시,2326.9166666666665,1075.9166666666667,2326.9166666666665,2.162729455503059
2023,2614065000,서구 남부민1동,평균주거인구수,12,False,05시,3255.4166666666665,3094.4166666666665,2250.1666666666665,0.7271699027818921
2023,2614065000,서구 남부민1동,평균직장인구수,12,False,15시,591.0833333333334,51.5,535.5,10.398058252427184
2023,2614065000,서구 남부민1동,평균방문인구수,12,False,07시,1308.0833333333333,867.0833333333334,1155.0,1.3320518981259009
