year,dictionarySignature,districtCode,district,lawDongCode,lawDong,categoryCode,category,quarters,minSharePct,maxSharePct,spreadPP
2020,62f6a938f48b,26110,중구,2611010100,영주동,G2,소매,4,28.762541806020067,30.16949152542373,1.4069497194036629
2020,62f6a938f48b,26110,중구,2611010100,영주동,I1,숙박,4,3.678929765886288,3.7288135593220337,0.04988379343574589
2020,62f6a938f48b,26110,중구,2611010100,영주동,I2,음식,4,27.4247491638796,28.135593220338983,0.7108440564593828
2020,62f6a938f48b,26110,중구,2611010100,영주동,L1,부동산,4,2.6755852842809364,3.0508474576271185,0.37526217334618206
2020,62f6a938f48b,26110,중구,2611010100,영주동,M1,과학·기술,4,6.779661016949152,7.357859531772576,0.5781985148234234
2020,62f6a938f48b,26110,중구,2611010100,영주동,N1,시설관리·임대,4,5.423728813559322,6.0200668896321075,0.5963380760727857
2020,62f6a938f48b,26110,중구,2611010100,영주동,P1,교육,4,1.3559322033898304,2.0066889632107023,0.6507567598208719
2020,62f6a938f48b,26110,중구,2611010100,영주동,R1,예술·스포츠,4,2.6755852842809364,3.0100334448160537,0.3344481605351173
2020,62f6a938f48b,26110,중구,2611010100,영주동,S2,수리·개인,4,18.64406779661017,18.729096989966557,0.08502919335638737
2020,62f6a938f48b,26110,중구,2611010200,대창동1가,G2,소매,4,12.068965517241379,13.333333333333334,1.264367816091955
2020,62f6a938f48b,26110,중구,2611010200,대창동1가,I1,숙박,4,1.6129032258064515,1.7241379310344827,0.11123470522803114
2020,62f6a938f48b,26110,중구,2611010200,대창동1가,I2,음식,4,11.290322580645162,12.068965517241379,0.7786429365962171
2020,62f6a938f48b,26110,중구,2611010200,대창동1가,L1,부동산,4,6.451612903225806,6.896551724137931,0.44493882091212456
2020,62f6a938f48b,26110,중구,2611010200,대창동1가,M1,과학·기술,4,23.333333333333332,24.59016393442623,1.2568306010928971
2020,62f6a938f48b,26110,중구,2611010200,대창동1가,N1,시설관리·임대,4,29.032258064516128,32.758620689655174,3.7263626251390463
2020,62f6a938f48b,26110,중구,2611010200,대창동1가,P1,교육,4,1.7241379310344827,3.3333333333333335,1.6091954022988508
2020,62f6a938f48b,26110,중구,2611010200,대창동1가,R1,예술·스포츠,4,1.6129032258064515,1.7241379310344827,0.11123470522803114
2020,62f6a938f48b,26110,중구,2611010200,대창동1가,S2,수리·개인,4,6.666666666666667,9.67741935483871,3.010752688172043
2020,62f6a938f48b,26110,중구,2611010300,대창동2가,G2,소매,4,23.529411764705884,25.0,1.470588235294116
2020,62f6a938f48b,26110,중구,2611010300,대창동2가,I1,숙박,4,1.9607843137254901,2.0833333333333335,0.12254901960784337
2020,62f6a938f48b,26110,중구,2611010300,대창동2가,I2,음식,4,14.583333333333334,16.3265306122449,1.7431972789115644
2020,62f6a938f48b,26110,중구,2611010300,대창동2가,L1,부동산,4,2.0408163265306123,3.9215686274509802,1.880752300920368
2020,62f6a938f48b,26110,중구,2611010300,대창동2가,M1,과학·기술,4,16.3265306122449,17.647058823529413,1.3205282112845147
2020,62f6a938f48b,26110,중구,2611010300,대창동2가,N1,시설관리·임대,4,29.41176470588235,31.25,1.8382352941176485
2020,62f6a938f48b,26110,중구,2611010300,대창동2가,P1,교육,4,5.882352941176471,6.25,0.367647058823529
2020,62f6a938f48b,26110,중구,2611010300,대창동2가,Q1,보건의료,4,1.9607843137254901,2.0833333333333335,0.12254901960784337
2020,62f6a938f48b,26110,중구,2611010400,중앙동1가,G2,소매,4,12.068965517241379,12.727272727272727,0.6583072100313476
2020,62f6a938f48b,26110,중구,2611010400,중앙동1가,I1,숙박,4,3.4482758620689653,3.6363636363636362,0.18808777429467094
2020,62f6a938f48b,26110,중구,2611010400,중앙동1가,I2,음식,4,53.44827586206897,56.36363636363637,2.915360501567399
2020,62f6a938f48b,26110,중구,2611010400,중앙동1가,L1,부동산,4,3.6363636363636362,6.896551724137931,3.2601880877742944
2020,62f6a938f48b,26110,중구,2611010400,중앙동1가,M1,과학·기술,4,13.793103448275861,16.363636363636363,2.570532915360502
2020,62f6a938f48b,26110,중구,2611010400,중앙동1가,N1,시설관리·임대,4,3.4482758620689653,3.6363636363636362,0.18808777429467094
2020,62f6a938f48b,26110,중구,2611010400,중앙동1가,P1,교육,4,1.7857142857142858,5.172413793103448,3.386699507389163
2020,62f6a938f48b,26110,중구,2611010400,중앙동1가,R1,예술·스포츠,4,1.7241379310344827,1.8181818181818181,0.09404388714733547
2020,62f6a938f48b,26110,중구,2611010500,중앙동2가,G2,소매,4,16.23931623931624,17.647058823529413,1.4077425842131746
2020,62f6a938f48b,26110,중구,2611010500,중앙동2가,I1,숙박,4,4.201680672268908,6.140350877192983,1.9386702049240752
