year,행정동코드,행정동명,나이대,평균주거인구수,평균직장인구수,평균방문인구수,observedMonths,nameMissing
2023,2611051000,중구 중앙동,20대,598.9166666666666,965.0,1031.3333333333333,12,False
2023,2611051000,중구 중앙동,20대미만,308.6666666666667,69.58333333333333,345.0,12,False
2023,2611051000,중구 중앙동,30대,632.75,1270.3333333333333,1105.5833333333333,12,False
2023,2611051000,중구 중앙동,40대,736.6666666666666,1187.6666666666667,1163.1666666666667,12,False
2023,2611051000,중구 중앙동,50대,1006.6666666666666,1188.4166666666667,1262.8333333333333,12,False
2023,2611051000,중구 중앙동,60대이상,1972.8333333333333,702.4166666666666,1674.3333333333333,12,False
2023,2611052000,중구 동광동,20대,135.33333333333334,54.0,167.33333333333334,12,False
2023,2611052000,중구 동광동,20대미만,48.833333333333336,4.583333333333333,52.25,12,False
2023,2611052000,중구 동광동,30대,118.75,77.75,151.83333333333334,12,False
2023,2611052000,중구 동광동,40대,179.91666666666666,100.33333333333333,174.41666666666666,12,False
2023,2611052000,중구 동광동,50대,246.08333333333334,98.0,196.41666666666666,12,False
2023,2611052000,중구 동광동,60대이상,793.8333333333334,95.25,347.75,12,False
2023,2611053000,중구 대청동,20대,572.8333333333334,213.83333333333334,392.8333333333333,12,False
2023,2611053000,중구 대청동,20대미만,271.0,67.58333333333333,151.16666666666666,12,False
2023,2611053000,중구 대청동,30대,418.75,240.33333333333334,319.3333333333333,12,False
2023,2611053000,중구 대청동,40대,563.75,255.5,337.0,12,False
2023,2611053000,중구 대청동,50대,745.25,255.0,396.8333333333333,12,False
2023,2611053000,중구 대청동,60대이상,2087.5,299.4166666666667,721.0833333333334,12,False
2023,2611054500,중구 보수동,20대,1011.5833333333334,126.75,232.5,12,False
2023,2611054500,중구 보수동,20대미만,377.0833333333333,60.833333333333336,115.16666666666667,12,False
2023,2611054500,중구 보수동,30대,457.3333333333333,81.08333333333333,152.58333333333334,12,False
2023,2611054500,중구 보수동,40대,557.0,106.83333333333333,190.91666666666666,12,False
2023,2611054500,중구 보수동,50대,965.5,158.41666666666666,243.08333333333334,12,False
2023,2611054500,중구 보수동,60대이상,2142.6666666666665,147.08333333333334,522.0,12,False
2023,2611056000,중구 부평동,20대,394.75,154.91666666666666,995.5,12,False
2023,2611056000,중구 부평동,20대미만,192.91666666666666,16.833333333333332,251.83333333333334,12,False
2023,2611056000,중구 부평동,30대,280.0,201.0,739.25,12,False
2023,2611056000,중구 부평동,40대,370.8333333333333,238.08333333333334,789.3333333333334,12,False
2023,2611056000,중구 부평동,50대,520.0833333333334,289.8333333333333,997.5833333333334,12,False
2023,2611056000,중구 부평동,60대이상,1606.5,316.4166666666667,1849.6666666666667,12,False
2023,2611057000,중구 광복동,20대,33.833333333333336,154.58333333333334,401.0833333333333,12,False
2023,2611057000,중구 광복동,20대미만,9.833333333333334,28.166666666666668,201.66666666666666,12,False
2023,2611057000,중구 광복동,30대,29.166666666666668,88.83333333333333,229.91666666666666,12,False
2023,2611057000,중구 광복동,40대,50.583333333333336,90.58333333333333,252.0,12,False
2023,2611057000,중구 광복동,50대,77.33333333333333,104.33333333333333,268.4166666666667,12,False
2023,2611057000,중구 광복동,60대이상,144.16666666666666,193.25,394.75,12,False
2023,2611058000,중구 남포동,20대,197.5,339.1666666666667,918.75,12,False
2023,2611058000,중구 남포동,20대미만,54.333333333333336,14.0,336.5,12,False
2023,2611058000,중구 남포동,30대,218.75,347.6666666666667,760.3333333333334,12,False
2023,2611058000,중구 남포동,40대,254.91666666666666,371.8333333333333,921.4166666666666,12,False
2023,2611058000,중구 남포동,50대,429.75,496.4166666666667,1342.5833333333333,12,False
2023,2611058000,중구 남포동,60대이상,774.75,806.5,2961.75,12,False
2023,2611059000,중구 영주1동,20대,32.916666666666664,13.25,54.333333333333336,12,False
2023,2611059000,중구 영주1동,20대미만,6.083333333333333,1.8333333333333333,16.916666666666668,12,False
2023,2611059000,중구 영주1동,30대,33.75,17.75,48.833333333333336,12,False
2023,2611059000,중구 영주1동,40대,38.75,17.416666666666668,60.166666666666664,12,False
2023,2611059000,중구 영주1동,50대,45.333333333333336,19.416666666666668,83.58333333333333,12,False
2023,2611059000,중구 영주1동,60대이상,116.91666666666667,17.666666666666668,123.0,12,False
2023,2611060000,중구 영주2동,20대,465.0,41.083333333333336,153.5,12,False
2023,2611060000,중구 영주2동,20대미만,365.1666666666667,27.166666666666668,82.75,12,False
2023,2611060000,중구 영주2동,30대,391.6666666666667,50.833333333333336,146.75,12,False
