year2024,code,name,populationType,observedMonths2024,nameMissing2024,peakHours2024,maximum2024,midnight2024,noon2024,noonToMidnight2024,year2023,observedMonths2023,nameMissing2023,peakHours2023,maximum2023,midnight2023,noon2023,noonToMidnight2023,peakSetSame,noonChange
2024,2611051000,중구 중앙동,평균주거인구수,12,False,04시,6555.583333333333,6312.333333333333,3861.25,0.6116993187938956,2023,12,False,04시,6693.083333333333,6403.333333333333,3982.25,0.6219026548672567,True,-121.0
2024,2611051000,중구 중앙동,평균직장인구수,12,False,14시,11246.5,351.0833333333333,10810.416666666666,30.791597436506052,2023,12,False,14시,11841.916666666666,457.75,11391.75,24.88640087383943,True,-581.3333333333339
2024,2611051000,중구 중앙동,평균방문인구수,12,False,14시,10547.166666666666,3791.75,10010.166666666666,2.6399859343750687,2023,12,False,14시,10602.333333333334,4144.166666666667,9850.916666666666,2.377056102955962,True,159.25
2024,2611052000,중구 동광동,평균주거인구수,12,False,04시,2038.5833333333333,1971.0,1375.6666666666667,0.6979536614239811,2023,12,False,04시,1852.0833333333333,1778.4166666666667,1225.8333333333333,0.6892835387282694,True,149.83333333333348
2024,2611052000,중구 동광동,평균직장인구수,12,False,15시,1027.25,27.0,963.6666666666666,35.691358024691354,2023,12,False,14시,962.5,36.166666666666664,906.6666666666666,25.069124423963135,False,57.0
2024,2611052000,중구 동광동,평균방문인구수,12,False,12시,1423.9166666666667,797.25,1423.9166666666667,1.7860353297794502,2023,12,False,12시,1420.9166666666667,846.5833333333334,1420.9166666666667,1.6784132296485874,True,3.0
2024,2611053000,중구 대청동,평균주거인구수,12,False,04시,5613.75,5425.666666666667,3536.9166666666665,0.6518860969466117,2023,12,False,04시,5767.75,5562.916666666667,3655.4166666666665,0.6571043367538012,True,-118.5
2024,2611053000,중구 대청동,평균직장인구수,12,False,14시,2852.5833333333335,87.58333333333333,2694.5833333333335,30.765937202664134,2023,12,False,14시,3011.8333333333335,118.0,2870.25,24.324152542372882,True,-175.66666666666652
2024,2611053000,중구 대청동,평균방문인구수,12,False,14시,3836.8333333333335,1028.3333333333333,3371.5833333333335,3.278687196110211,2023,12,False,14시,4189.583333333333,1284.5833333333333,3661.9166666666665,2.850664936749919,True,-290.33333333333303
2024,2611054500,중구 보수동,평균주거인구수,12,False,04시,7531.833333333333,7235.916666666667,4407.083333333333,0.6090566733079199,2023,12,False,05시,7022.833333333333,6711.583333333333,4134.5,0.6160245346974758,False,272.58333333333303
2024,2611054500,중구 보수동,평균직장인구수,12,False,16시,1416.25,66.58333333333333,1296.75,19.475594493116397,2023,12,False,16시,1461.9166666666667,74.41666666666667,1361.5,18.295632698768195,True,-64.75
2024,2611054500,중구 보수동,평균방문인구수,12,False,13시,2177.5,925.4166666666666,2168.9166666666665,2.343719045475011,2023,12,False,12시,2106.8333333333335,957.6666666666666,2106.8333333333335,2.199965193177863,False,62.08333333333303
2024,2611056000,중구 부평동,평균주거인구수,12,False,04시,3995.4166666666665,3895.8333333333335,2563.4166666666665,0.6579893048128341,2023,12,False,04시,4092.5,3980.8333333333335,2671.8333333333335,0.6711743772241993,True,-108.41666666666697
2024,2611056000,중구 부평동,평균직장인구수,12,False,15시,2565.4166666666665,221.0,2368.8333333333335,10.71870286576169,2023,12,False,15시,2542.5833333333335,228.75,2371.0,10.365027322404371,True,-2.166666666666515
2024,2611056000,중구 부평동,평균방문인구수,12,False,19시,8368.333333333334,4587.583333333333,5870.083333333333,1.2795589544240795,2023,12,False,19시,8586.333333333334,4830.0,6068.583333333333,1.2564354727398206,True,-198.5
2024,2611057000,중구 광복동,평균주거인구수,12,False,05시,417.0833333333333,399.25,339.0,0.8490920475892298,2023,12,False,06시,387.3333333333333,368.6666666666667,314.75,0.8537522603978299,False,24.25
2024,2611057000,중구 광복동,평균직장인구수,12,False,15시,1585.1666666666667,54.083333333333336,1430.5,26.449922958397533,2023,12,False,15시,1553.9166666666667,62.833333333333336,1396.3333333333333,22.22281167108753,True,34.16666666666674
2024,2611057000,중구 광복동,평균방문인구수,12,False,14시,3778.25,434.75,2974.5833333333335,6.842054820778225,2023,12,False,15시,3897.1666666666665,522.5833333333334,2989.75,5.721097113697974,False,-15.166666666666515
2024,2611058000,중구 남포동,평균주거인구수,12,False,06시,2697.6666666666665,2480.25,2051.4166666666665,0.8271007626919329,2023,12,False,06시,2263.5833333333335,2044.5,1770.5833333333333,0.8660226624276514,True,280.83333333333326
2024,2611058000,중구 남포동,평균직장인구수,12,False,15시,5709.333333333333,223.0,5198.0,23.309417040358746,2023,12,False,15시,5369.25,251.08333333333334,4879.916666666667,19.435446398937938,True,318.08333333333303
2024,2611058000,중구 남포동,평균방문인구수,12,False,14시,13528.916666666666,3478.4166666666665,11182.75,3.2148966244220314,2023,12,False,14시,13300.25,3561.0833333333335,10816.5,3.037418388598975,True,366.25
2024,2611059000,중구 영주1동,평균주거인구수,12,False,04시,408.75,384.4166666666667,220.58333333333334,0.5738131367873401,2023,12,False,04시|05시,367.0,346.1666666666667,201.08333333333334,0.5808858931150698,False,19.5
2024,2611059000,중구 영주1동,평균직장인구수,12,False,14시,240.41666666666666,7.666666666666667,217.33333333333334,28.347826086956523,2023,12,False,14시,191.91666666666666,11.166666666666666,182.0,16.29850746268657,True,35.33333333333334
2024,2611059000,중구 영주1동,평균방문인구수,12,False,12시,502.4166666666667,317.6666666666667,502.4166666666667,1.5815844700944386,2023,12,False,12시,514.1666666666666,324.75,514.1666666666666,1.5832691814216062,True,-11.749999999999943
2024,2611060000,중구 영주2동,평균주거인구수,12,False,04시,6440.416666666667,6309.5,3836.0833333333335,0.6079853131521251,2023,12,False,04시,6723.916666666667,6594.333333333333,3996.5833333333335,0.6060632866602639,True,-160.5
2024,2611060000,중구 영주2동,평균직장인구수,12,False,16시,809.25,43.166666666666664,740.8333333333334,17.162162162162165,2023,12,False,16시,790.5,52.25,751.4166666666666,14.381180223285485,True,-10.583333333333258
2024,2611060000,중구 영주2동,평균방문인구수,12,False,14시,1438.0833333333333,976.8333333333334,1400.4166666666667,1.433629073536939,2023,12,False,11시,1554.0,1112.0,1522.3333333333333,1.3690047961630696,False,-121.91666666666652
2024,2614051000,서구 동대신1동,평균주거인구수,12,False,04시,4624.083333333333,4457.25,2580.5833333333335,0.5789631125320172,2023,12,False,04시,4825.916666666667,4647.666666666667,2710.9166666666665,0.5832855196155776,True,-130.33333333333303
2024,2614051000,서구 동대신1동,평균직장인구수,12,False,16시,624.75,50.666666666666664,583.9166666666666,11.524671052631579,2023,12,False,16시,655.75,70.0,611.8333333333334,8.74047619047619,True,-27.916666666666742
2024,2614051000,서구 동대신1동,평균방문인구수,12,False,12시,1373.3333333333333,1007.75,1373.3333333333333,1.3627718514843297,2023,12,False,12시,1457.25,1045.4166666666667,1457.25,1.393941809485851,True,-83.91666666666674
2024,2614052000,서구 동대신2동,평균주거인구수,12,False,04시,3181.75,3101.8333333333335,2044.1666666666667,0.6590188598140885,2023,12,False,05시,3177.0,3093.75,2034.6666666666667,0.6576700336700337,False,9.5
2024,2614052000,서구 동대신2동,평균직장인구수,12,False,13시,311.1666666666667,22.0,307.5,13.977272727272727,2023,12,False,13시,298.5833333333333,27.0,298.25,11.046296296296296,True,9.25
2024,2614052000,서구 동대신2동,평균방문인구수,12,False,12시,651.9166666666666,411.25,651.9166666666666,1.585207700101317,2023,12,False,12시,697.0,460.75,697.0,1.5127509495387954,True,-45.08333333333337
2024,2614053000,서구 동대신3동,평균주거인구수,12,False,04시,6770.333333333333,6579.833333333333,4140.583333333333,0.6292839230983561,2023,12,False,04시,6934.083333333333,6729.916666666667,4291.5,0.6376750578882848,True,-150.91666666666697
2024,2614053000,서구 동대신3동,평균직장인구수,12,False,15시,3331.25,202.83333333333334,3162.6666666666665,15.592440427280195,2023,12,False,15시,3327.0,231.16666666666666,3167.0,13.700072098053353,True,-4.333333333333485
