year2024,행정동코드,행정동명,나이대,평균주거인구수2024,평균직장인구수2024,평균방문인구수2024,observedMonths2024,nameMissing2024,year2023,평균주거인구수2023,평균직장인구수2023,평균방문인구수2023,observedMonths2023,nameMissing2023,평균주거인구수差,평균직장인구수差,평균방문인구수差
2024,2611051000,중구 중앙동,20대,585.9166666666666,881.0833333333334,1033.8333333333333,12,False,2023,598.9166666666666,965.0,1031.3333333333333,12,False,-13.0,-83.91666666666663,2.5
2024,2611051000,중구 중앙동,20대미만,318.9166666666667,67.41666666666667,343.1666666666667,12,False,2023,308.6666666666667,69.58333333333333,345.0,12,False,10.25,-2.166666666666657,-1.8333333333333144
2024,2611051000,중구 중앙동,30대,638.0,1235.8333333333333,1113.8333333333333,12,False,2023,632.75,1270.3333333333333,1105.5833333333333,12,False,5.25,-34.5,8.25
2024,2611051000,중구 중앙동,40대,739.0833333333334,1110.8333333333333,1087.5,12,False,2023,736.6666666666666,1187.6666666666667,1163.1666666666667,12,False,2.4166666666667425,-76.83333333333348,-75.66666666666674
2024,2611051000,중구 중앙동,50대,955.9166666666666,1108.6666666666667,1216.25,12,False,2023,1006.6666666666666,1188.4166666666667,1262.8333333333333,12,False,-50.75,-79.75,-46.58333333333326
2024,2611051000,중구 중앙동,60대이상,1925.5833333333333,663.5,1667.75,12,False,2023,1972.8333333333333,702.4166666666666,1674.3333333333333,12,False,-47.25,-38.91666666666663,-6.5833333333332575
2024,2611052000,중구 동광동,20대,121.33333333333331,60.75,158.5,12,False,2023,135.33333333333334,54.0,167.33333333333334,12,False,-14.000000000000028,6.75,-8.833333333333343
2024,2611052000,중구 동광동,20대미만,42.66666666666666,6.583333333333333,55.75,12,False,2023,48.833333333333336,4.583333333333333,52.25,12,False,-6.1666666666666785,2.0,3.5
2024,2611052000,중구 동광동,30대,138.0,76.75,143.5,12,False,2023,118.75,77.75,151.83333333333334,12,False,19.25,-1.0,-8.333333333333343
2024,2611052000,중구 동광동,40대,169.75,108.08333333333331,164.83333333333334,12,False,2023,179.91666666666666,100.33333333333331,174.41666666666666,12,False,-10.166666666666657,7.75,-9.583333333333314
2024,2611052000,중구 동광동,50대,272.9166666666667,105.08333333333331,189.58333333333331,12,False,2023,246.08333333333331,98.0,196.41666666666663,12,False,26.83333333333337,7.083333333333314,-6.833333333333314
2024,2611052000,중구 동광동,60대이상,948.1666666666666,99.33333333333331,346.8333333333333,12,False,2023,793.8333333333334,95.25,347.75,12,False,154.33333333333326,4.083333333333314,-0.9166666666666856
2024,2611053000,중구 대청동,20대,538.0833333333334,207.66666666666663,344.5833333333333,12,False,2023,572.8333333333334,213.83333333333331,392.8333333333333,12,False,-34.75,-6.166666666666686,-48.25
2024,2611053000,중구 대청동,20대미만,255.66666666666663,60.66666666666666,137.58333333333334,12,False,2023,271.0,67.58333333333333,151.16666666666666,12,False,-15.333333333333371,-6.916666666666671,-13.583333333333314
2024,2611053000,중구 대청동,30대,399.9166666666667,262.25,291.6666666666667,12,False,2023,418.75,240.33333333333331,319.3333333333333,12,False,-18.833333333333314,21.916666666666686,-27.66666666666663
2024,2611053000,중구 대청동,40대,536.8333333333334,232.16666666666663,299.4166666666667,12,False,2023,563.75,255.5,337.0,12,False,-26.91666666666663,-23.33333333333337,-37.583333333333314
2024,2611053000,중구 대청동,50대,710.1666666666666,254.08333333333331,343.3333333333333,12,False,2023,745.25,255.0,396.8333333333333,12,False,-35.08333333333337,-0.9166666666666856,-53.5
