year,행정동코드,행정동명,시간대,평균주거인구수,평균직장인구수,평균방문인구수,observedMonths,nameMissing
2023,2611051000,중구 중앙동,00시,6403.333333333333,457.75,4144.166666666667,12,False
2023,2611051000,중구 중앙동,01시,6537.333333333333,433.0,4181.583333333333,12,False
2023,2611051000,중구 중앙동,02시,6619.75,417.1666666666667,4122.166666666667,12,False
2023,2611051000,중구 중앙동,03시,6666.583333333333,411.3333333333333,4032.0,12,False
2023,2611051000,중구 중앙동,04시,6693.083333333333,410.0,3916.0,12,False
2023,2611051000,중구 중앙동,05시,6646.416666666667,423.25,3810.5833333333335,12,False
2023,2611051000,중구 중앙동,06시,6516.916666666667,553.25,4110.166666666667,12,False
2023,2611051000,중구 중앙동,07시,6187.083333333333,1403.5,4576.333333333333,12,False
2023,2611051000,중구 중앙동,08시,5607.25,5251.083333333333,5415.166666666667,12,False
2023,2611051000,중구 중앙동,09시,4639.75,10245.5,6584.166666666667,12,False
2023,2611051000,중구 중앙동,10시,4315.833333333333,11329.583333333334,7612.25,12,False
2023,2611051000,중구 중앙동,11시,4113.25,11582.166666666666,8791.25,12,False
2023,2611051000,중구 중앙동,12시,3982.25,11391.75,9850.916666666666,12,False
2023,2611051000,중구 중앙동,13시,3887.5,11833.75,10382.166666666666,12,False
2023,2611051000,중구 중앙동,14시,3823.0833333333335,11841.916666666666,10602.333333333334,12,False
2023,2611051000,중구 중앙동,15시,3832.3333333333335,11750.666666666666,10264.5,12,False
2023,2611051000,중구 중앙동,16시,3922.25,11532.333333333334,9547.166666666666,12,False
2023,2611051000,중구 중앙동,17시,4096.333333333333,10617.333333333334,8972.0,12,False
2023,2611051000,중구 중앙동,18시,4355.166666666667,7740.416666666667,8594.666666666666,12,False
2023,2611051000,중구 중앙동,19시,4628.833333333333,4122.166666666667,7639.0,12,False
2023,2611051000,중구 중앙동,20시,5319.166666666667,2415.4166666666665,6438.333333333333,12,False
2023,2611051000,중구 중앙동,21시,5589.666666666667,1464.5,5342.416666666667,12,False
2023,2611051000,중구 중앙동,22시,5824.583333333333,918.4166666666666,4686.666666666667,12,False
2023,2611051000,중구 중앙동,23시,5939.5,652.6666666666666,4350.583333333333,12,False
2023,2611052000,중구 동광동,00시,1778.4166666666667,36.166666666666664,846.5833333333334,12,False
2023,2611052000,중구 동광동,01시,1794.5,31.0,787.1666666666666,12,False
2023,2611052000,중구 동광동,02시,1815.0833333333333,28.5,746.3333333333334,12,False
2023,2611052000,중구 동광동,03시,1833.9166666666667,28.0,737.4166666666666,12,False
2023,2611052000,중구 동광동,04시,1852.0833333333333,28.416666666666668,735.0,12,False
2023,2611052000,중구 동광동,05시,1850.4166666666667,31.416666666666668,757.1666666666666,12,False
2023,2611052000,중구 동광동,06시,1820.4166666666667,42.583333333333336,796.25,12,False
2023,2611052000,중구 동광동,07시,1749.0833333333333,117.16666666666667,865.5,12,False
2023,2611052000,중구 동광동,08시,1608.5833333333333,401.8333333333333,999.6666666666666,12,False
2023,2611052000,중구 동광동,09시,1417.8333333333333,824.3333333333334,1226.75,12,False
2023,2611052000,중구 동광동,10시,1321.3333333333333,900.3333333333334,1371.4166666666667,12,False
