snapshot,fieldStudyArea,district,lawDong,categoryCode,category,shops,denominatorShops,sharePct
20240331,부전시장,부산진구,부전동,S205,가전제품 수리,17,6543,0.25981965459269446
20240331,부전시장,부산진구,부전동,S206,기타 가정용품 수리,39,6543,0.5960568546538285
20240331,부전시장,부산진구,부전동,S207,이용·미용,454,6543,6.938713128534311
20240331,부전시장,부산진구,부전동,S208,욕탕·신체관리,44,6543,0.6724744001222681
20240331,부전시장,부산진구,부전동,S209,세탁,11,6543,0.16811860003056703
20240331,부전시장,부산진구,부전동,S210,장례식장 ,3,6543,0.04585052728106373
20240331,부전시장,부산진구,부전동,S211,기타 개인,13,6543,0.19868561821794284
20240331,못골시장,남구,대연동,G202,자동차 부품 소매,15,4524,0.33156498673740054
20240331,못골시장,남구,대연동,G203,모터사이클 소매,2,4524,0.04420866489832007
20240331,못골시장,남구,대연동,G204,종합 소매,177,4524,3.9124668435013263
20240331,못골시장,남구,대연동,G205,식료품 소매,97,4524,2.1441202475685235
20240331,못골시장,남구,대연동,G206,음료 소매,2,4524,0.04420866489832007
20240331,못골시장,남구,대연동,G207,담배 소매,11,4524,0.24314765694076038
20240331,못골시장,남구,대연동,G208,가전·통신 소매,60,4524,1.3262599469496021
20240331,못골시장,남구,대연동,G209,섬유·의복·신발 소매,163,4524,3.603006189213086
20240331,못골시장,남구,대연동,G210,철물·건설자재 소매,34,4524,0.7515473032714411
20240331,못골시장,남구,대연동,G211,가구 소매,6,4524,0.13262599469496023
20240331,못골시장,남구,대연동,G212,기타 생활용품 소매,19,4524,0.41998231653404067
20240331,못골시장,남구,대연동,G213,오락용품 소매,37,4524,0.8178603006189213
20240331,못골시장,남구,대연동,G214,연료 소매,21,4524,0.46419098143236076
20240331,못골시장,남구,대연동,G215,의약·화장품 소매,106,4524,2.3430592396109637
20240331,못골시장,남구,대연동,G216,안경·정밀기기 소매,23,4524,0.5083996463306808
20240331,못골시장,남구,대연동,G217,시계·귀금속 소매,9,4524,0.1989389920424403
20240331,못골시장,남구,대연동,G218,장식품 소매,9,4524,0.1989389920424403
20240331,못골시장,남구,대연동,G219,식물 소매,20,4524,0.4420866489832007
20240331,못골시장,남구,대연동,G220,애완동물·용품 소매,19,4524,0.41998231653404067
20240331,못골시장,남구,대연동,G221,기타 상품 소매,15,4524,0.33156498673740054
20240331,못골시장,남구,대연동,G222,중고 상품 소매,14,4524,0.3094606542882405
20240331,못골시장,남구,대연동,I101,일반 숙박,28,4524,0.618921308576481
20240331,못골시장,남구,대연동,I102,기타 숙박,18,4524,0.3978779840848806
20240331,못골시장,남구,대연동,I201,한식,626,4524,13.837312113174182
20240331,못골시장,남구,대연동,I202,중식,66,4524,1.4588859416445623
20240331,못골시장,남구,대연동,I203,일식,74,4524,1.6357206012378427
20240331,못골시장,남구,대연동,I204,서양식,64,4524,1.4146772767462423
20240331,못골시장,남구,대연동,I205,동남아시아,16,4524,0.3536693191865606
20240331,못골시장,남구,대연동,I207,구내식당·뷔페,10,4524,0.22104332449160036
20240331,못골시장,남구,대연동,I210,기타 간이,368,4524,8.134394341290893
20240331,못골시장,남구,대연동,I211,주점,235,4524,5.194518125552609
20240331,못골시장,남구,대연동,I212,비알코올 ,258,4524,5.702917771883289
20240331,못골시장,남구,대연동,L102,부동산 서비스,208,4524,4.597701149425287
20240331,못골시장,남구,대연동,M103,법무관련 ,10,4524,0.22104332449160036
20240331,못골시장,남구,대연동,M104,회계·세무,18,4524,0.3978779840848806
20240331,못골시장,남구,대연동,M105,광고,82,4524,1.8125552608311228
20240331,못골시장,남구,대연동,M106,시장 조사,1,4524,0.022104332449160036
20240331,못골시장,남구,대연동,M107,본사·경영 컨설팅,55,4524,1.2157382847038019
20240331,못골시장,남구,대연동,M109,기술 서비스,101,4524,2.2325375773651635
20240331,못골시장,남구,대연동,M111,수의,5,4524,0.11052166224580018
20240331,못골시장,남구,대연동,M112,전문 디자인,56,4524,1.237842617152962
20240331,못골시장,남구,대연동,M113,사진 촬영,42,4524,0.9283819628647215
20240331,못골시장,남구,대연동,M114,인쇄·제품제작,29,4524,0.6410256410256411
20240331,못골시장,남구,대연동,M115,기타 전문 과학,3,4524,0.06631299734748011
20240331,못골시장,남구,대연동,N101,시설관리,5,4524,0.11052166224580018
20240331,못골시장,남구,대연동,N102,청소·방제,34,4524,0.7515473032714411
20240331,못골시장,남구,대연동,N104,고용 알선,27,4524,0.596816976127321
20240331,못골시장,남구,대연동,N105,여행사·보조,30,4524,0.6631299734748011
20240331,못골시장,남구,대연동,N107,사무 지원,24,4524,0.5305039787798409
20240331,못골시장,남구,대연동,N108,기타 사업 서비스,20,4524,0.4420866489832007
20240331,못골시장,남구,대연동,N109,운송장비 대여,8,4524,0.1768346595932803
20240331,못골시장,남구,대연동,N110,가정용품 대여,11,4524,0.24314765694076038
20240331,못골시장,남구,대연동,N111,산업용품 대여,11,4524,0.24314765694076038
20240331,못골시장,남구,대연동,P105,일반 교육,61,4524,1.3483642793987622
20240331,못골시장,남구,대연동,P106,기타 교육,158,4524,3.4924845269672855
20240331,못골시장,남구,대연동,P107,교육 지원,40,4524,0.8841732979664014
20240331,못골시장,남구,대연동,Q101,병원,3,4524,0.06631299734748011
20240331,못골시장,남구,대연동,Q102,의원,72,4524,1.5915119363395225
20240331,못골시장,남구,대연동,Q104,기타 보건,7,4524,0.15473032714412024
20240331,못골시장,남구,대연동,R102,도서관·사적지,25,4524,0.5526083112290009
20240331,못골시장,남구,대연동,R103,스포츠 서비스,84,4524,1.856763925729443
20240331,못골시장,남구,대연동,R104,유원지·오락,93,4524,2.055702917771883
20240331,못골시장,남구,대연동,S201,컴퓨터 수리,11,4524,0.24314765694076038
20240331,못골시장,남구,대연동,S202,통신장비 수리,7,4524,0.15473032714412024
20240331,못골시장,남구,대연동,S203,자동차 수리·세차,53,4524,1.1715296198054819
20240331,못골시장,남구,대연동,S204,모터사이클 수리,7,4524,0.15473032714412024
20240331,못골시장,남구,대연동,S205,가전제품 수리,10,4524,0.22104332449160036
20240331,못골시장,남구,대연동,S206,기타 가정용품 수리,17,4524,0.3757736516357206
20240331,못골시장,남구,대연동,S207,이용·미용,408,4524,9.018567639257295
20240331,못골시장,남구,대연동,S208,욕탕·신체관리,29,4524,0.6410256410256411
20240331,못골시장,남구,대연동,S209,세탁,33,4524,0.7294429708222812
20240331,못골시장,남구,대연동,S210,장례식장 ,3,4524,0.06631299734748011
20240331,못골시장,남구,대연동,S211,기타 개인,1,4524,0.022104332449160036
20240331,광안역 주변,수영구,광안동,G202,자동차 부품 소매,10,3347,0.2987750224081267
20240331,광안역 주변,수영구,광안동,G203,모터사이클 소매,5,3347,0.14938751120406335
20240331,광안역 주변,수영구,광안동,G204,종합 소매,136,3347,4.063340304750523
20240331,광안역 주변,수영구,광안동,G205,식료품 소매,56,3347,1.6731401254855094
20240331,광안역 주변,수영구,광안동,G206,음료 소매,2,3347,0.05975500448162534
20240331,광안역 주변,수영구,광안동,G207,담배 소매,7,3347,0.20914251568568867
20240331,광안역 주변,수영구,광안동,G208,가전·통신 소매,41,3347,1.2249775918733194
20240331,광안역 주변,수영구,광안동,G209,섬유·의복·신발 소매,101,3347,3.0176277263220794
20240331,광안역 주변,수영구,광안동,G210,철물·건설자재 소매,13,3347,0.3884075291305647
20240331,광안역 주변,수영구,광안동,G211,가구 소매,7,3347,0.20914251568568867
20240331,광안역 주변,수영구,광안동,G212,기타 생활용품 소매,17,3347,0.5079175380938153
20240331,광안역 주변,수영구,광안동,G213,오락용품 소매,32,3347,0.9560800717060054
20240331,광안역 주변,수영구,광안동,G214,연료 소매,5,3347,0.14938751120406335
20240331,광안역 주변,수영구,광안동,G215,의약·화장품 소매,105,3347,3.13713773528533
20240331,광안역 주변,수영구,광안동,G216,안경·정밀기기 소매,16,3347,0.4780400358530027
20240331,광안역 주변,수영구,광안동,G217,시계·귀금속 소매,12,3347,0.358530026889752
20240331,광안역 주변,수영구,광안동,G218,장식품 소매,25,3347,0.7469375560203168
20240331,광안역 주변,수영구,광안동,G219,식물 소매,21,3347,0.627427547057066
20240331,광안역 주변,수영구,광안동,G220,애완동물·용품 소매,15,3347,0.44816253361219
20240331,광안역 주변,수영구,광안동,G221,기타 상품 소매,3,3347,0.089632506722438
20240331,광안역 주변,수영구,광안동,G222,중고 상품 소매,10,3347,0.2987750224081267
20240331,광안역 주변,수영구,광안동,I101,일반 숙박,104,3347,3.1072602330445176
20240331,광안역 주변,수영구,광안동,I102,기타 숙박,3,3347,0.089632506722438
20240331,광안역 주변,수영구,광안동,I201,한식,447,3347,13.355243501643262
20240331,광안역 주변,수영구,광안동,I202,중식,36,3347,1.075590080669256
20240331,광안역 주변,수영구,광안동,I203,일식,66,3347,1.971915147893636
20240331,광안역 주변,수영구,광안동,I204,서양식,66,3347,1.971915147893636
20240331,광안역 주변,수영구,광안동,I205,동남아시아,10,3347,0.2987750224081267
20240331,광안역 주변,수영구,광안동,I207,구내식당·뷔페,5,3347,0.14938751120406335
20240331,광안역 주변,수영구,광안동,I210,기타 간이,269,3347,8.037048102778607
20240331,광안역 주변,수영구,광안동,I211,주점,203,3347,6.065132954884971
20240331,광안역 주변,수영구,광안동,I212,비알코올 ,201,3347,6.005377950403346
20240331,광안역 주변,수영구,광안동,L102,부동산 서비스,178,3347,5.318195398864655
20240331,광안역 주변,수영구,광안동,M103,법무관련 ,7,3347,0.20914251568568867
20240331,광안역 주변,수영구,광안동,M104,회계·세무,16,3347,0.4780400358530027
20240331,광안역 주변,수영구,광안동,M105,광고,24,3347,0.717060053779504
20240331,광안역 주변,수영구,광안동,M106,시장 조사,3,3347,0.089632506722438
20240331,광안역 주변,수영구,광안동,M107,본사·경영 컨설팅,43,3347,1.2847325963549447
20240331,광안역 주변,수영구,광안동,M109,기술 서비스,51,3347,1.5237526142814461
20240331,광안역 주변,수영구,광안동,M111,수의,7,3347,0.20914251568568867
20240331,광안역 주변,수영구,광안동,M112,전문 디자인,57,3347,1.703017627726322
20240331,광안역 주변,수영구,광안동,M113,사진 촬영,45,3347,1.34448760083657
20240331,광안역 주변,수영구,광안동,M114,인쇄·제품제작,14,3347,0.41828503137137735
20240331,광안역 주변,수영구,광안동,M115,기타 전문 과학,5,3347,0.14938751120406335
20240331,광안역 주변,수영구,광안동,N101,시설관리,3,3347,0.089632506722438
20240331,광안역 주변,수영구,광안동,N102,청소·방제,28,3347,0.8365700627427547
20240331,광안역 주변,수영구,광안동,N104,고용 알선,15,3347,0.44816253361219
20240331,광안역 주변,수영구,광안동,N105,여행사·보조,12,3347,0.358530026889752
20240331,광안역 주변,수영구,광안동,N107,사무 지원,1,3347,0.02987750224081267
