filename,bytes,sha256,original_path
20230630_소상공인시장진흥공단_상가(상권)정보_부산_202306.csv,83402958,c6f1b21e92f9ebfa2b62f76d03dfec73adec9597a35e669d54b2af5dcabeab05,data/raw/상권과거/20230630_소상공인시장진흥공단_상가(상권)정보_부산_202306.csv
20230930_소상공인시장진흥공단_상가(상권)정보_부산_202309.csv,82107187,ff88e274cbc2dea4bea34198612820041b75edf0a549f7ac5302678a3b00449f,data/raw/상권과거/20230930_소상공인시장진흥공단_상가(상권)정보_부산_202309.csv
20231231_소상공인시장진흥공단_상가(상권)정보_부산_202312.csv,82773740,c1d0c0142d780d2ed4ddd5c2f5542780c3cb7b1c6db56fb0aa7f06ce17331750,data/raw/상권과거/20231231_소상공인시장진흥공단_상가(상권)정보_부산_202312.csv
20240331_소상공인시장진흥공단_상가(상권)정보_부산_202403.csv,81631643,1b37495e8c6365339dcb708a23cf17ac1a27ef2fdc2e301fcdb29370298fe22e,data/raw/상권과거/20240331_소상공인시장진흥공단_상가(상권)정보_부산_202403.csv
20240630_소상공인시장진흥공단_상가(상권)정보_부산_202406.csv,80273363,5b873b4e349499c8883f43c3294fb9ccdfa45fba7c2ab018180ac469e877c237,data/raw/상권과거/20240630_소상공인시장진흥공단_상가(상권)정보_부산_202406.csv
20240930_소상공인시장진흥공단_상가(상권)정보_부산_202409.csv,78253942,4afb58ad7132237133946ce148eb5c901a8bddfe530d95c923f36b9303acd7f8,data/raw/상권과거/20240930_소상공인시장진흥공단_상가(상권)정보_부산_202409.csv
20241231_소상공인시장진흥공단_상가(상권)정보_부산_202412.csv,87708223,efe262611f1e1aa114026923d337bfd8e6c8c5e4230704b15393f7f36dc1ea66,data/raw/상권과거/20241231_소상공인시장진흥공단_상가(상권)정보_부산_202412.csv
부산_PD_LP00002_연령생활인구_공식전체.xlsx,1543852,9975536274f015c68356c7463e7942f89edd8982746066d3332bbb9dfcbab3fd,data/raw/공간인구보완/부산_PD_LP00002_연령생활인구_공식전체.xlsx
부산_PD_LP00003_시간생활인구_공식전체.xlsx,6243714,c6c26134f53fe5171e4b2e872c52c8953573d23993caf3a8f272f5dac3403689,data/raw/공간인구보완/부산_PD_LP00003_시간생활인구_공식전체.xlsx
소방서 및 119안전센터 위치 현황.csv,9967,3ff4f7797d35ca5d9be964b0b9e2fed068a51749199c0943ddc763211b6840fc,data/소방서 및 119안전센터 위치 현황.csv
소방서 및 119안전센터 출동가능 인원 현황 (1).csv,6432,6b7d69faeff25bdb74782457580080cccadecfc300d69193afa65617c8b8edc5,data/소방서 및 119안전센터 출동가능 인원 현황 (1).csv
소방서 및 119안전센터 출동가능 차량수.csv,10427,517fffc7caba1a2a3400a7bbf0cac80cf83f2a45e4d9447f06a76cf0553bad36,data/소방서 및 119안전센터 출동가능 차량수.csv
MOIS_202012_연령별인구_부산전체읍면동.csv,390563,a40ec7b1c90fccf1341e59a4d10eaf020445149a83e97f55951fd7ec9f601056,data/raw/인구배경/MOIS_202012_연령별인구_부산전체읍면동.csv
MOIS_202112_연령별인구_부산전체읍면동.csv,390069,318c8be5bfb9a35c1c9155cb893ea2aa00afef57bda2651170fad0e8c620fb2a,data/raw/인구배경/MOIS_202112_연령별인구_부산전체읍면동.csv
MOIS_202212_연령별인구_부산전체읍면동.csv,389817,fb56524e72ef4db9b9f4d0a28180ec89cd7a25a657f8a2d7d73424190f4168f7,data/raw/인구배경/MOIS_202212_연령별인구_부산전체읍면동.csv
MOIS_202312_연령별인구_부산전체읍면동.csv,389686,11454111fa9b9ee443afe808b78e37fc5351421ddfe06a1cf08a9c3c6f9ce171,data/raw/인구배경/MOIS_202312_연령별인구_부산전체읍면동.csv
MOIS_202412_연령별인구_부산전체읍면동.csv,389470,2ae65f67dd536b787c1c13c3f1a4370a480ac7a1b0713588f3d0faa6f393ab37,data/raw/인구배경/MOIS_202412_연령별인구_부산전체읍면동.csv
