scope,district,rawDong,subtype,count,yearCounts,beforeYearCounts,retention,directionReversal,relation
A,기장군,기장읍,"고층건물(3층이상,아파트)",256,"[28, 56, 64, 52, 56]","[42, 61, 73, 68, 72]",0.810126582278481,False,추가로 확인한 고층건물 분류. 아파트만의 신고가 아니며 포털 등록 건물의 실제 발생 신고로 배정하지 않음.
A,동래구,온천동,"고층건물(3층이상,아파트)",184,"[24, 31, 12, 46, 71]","[57, 57, 24, 86, 138]",0.5082872928176796,False,추가로 확인한 고층건물 분류. 아파트만의 신고가 아니며 포털 등록 건물의 실제 발생 신고로 배정하지 않음.
B,기장군,기장읍,"고층건물(3층이상,아파트)",56,"[11, 8, 9, 15, 13]","[17, 8, 11, 18, 14]",0.8235294117647058,True,추가로 확인한 고층건물 분류. 아파트만의 신고가 아니며 포털 등록 건물의 실제 발생 신고로 배정하지 않음.
B,동래구,온천동,"고층건물(3층이상,아파트)",76,"[11, 15, 8, 17, 25]","[19, 21, 14, 27, 35]",0.6551724137931034,False,추가로 확인한 고층건물 분류. 아파트만의 신고가 아니며 포털 등록 건물의 실제 발생 신고로 배정하지 않음.
C,기장군,기장읍,"고층건물(3층이상,아파트)",56,"[11, 8, 9, 15, 13]","[17, 8, 11, 18, 14]",0.8235294117647058,True,추가로 확인한 고층건물 분류. 아파트만의 신고가 아니며 포털 등록 건물의 실제 발생 신고로 배정하지 않음.
C,동래구,온천동,"고층건물(3층이상,아파트)",76,"[11, 15, 8, 17, 25]","[19, 21, 14, 27, 35]",0.6551724137931034,False,추가로 확인한 고층건물 분류. 아파트만의 신고가 아니며 포털 등록 건물의 실제 발생 신고로 배정하지 않음.
