snapshot,fieldStudyArea,district,lawDong,lawDongCode,category,shops,denominatorShops,sharePct,busanSameSnapshotSharePct,differenceFromBusanPercentagePoints
20240331,부전시장,부산진구,부전동,2623010300,과학·기술,526,6543,8.039125783279841,8.212229138235196,-0.17310335495535512
20240331,부전시장,부산진구,부전동,2623010300,교육,190,6543,2.903866727800703,4.250574177012948,-1.3467074492122446
20240331,부전시장,부산진구,부전동,2623010300,보건의료,273,6543,4.1723979825768,1.3533934693605831,2.8190045132162167
20240331,부전시장,부산진구,부전동,2623010300,부동산,220,6543,3.3623720006113405,3.8937522883866458,-0.5313802877753053
20240331,부전시장,부산진구,부전동,2623010300,소매,2040,6543,31.17835855112334,25.371633991279168,5.80672455984417
20240331,부전시장,부산진구,부전동,2623010300,수리·개인,613,6543,9.368791074430689,12.642545684518856,-3.273754610088167
20240331,부전시장,부산진구,부전동,2623010300,숙박,159,6543,2.430077945896378,1.5258130013647107,0.9042649445316673
20240331,부전시장,부산진구,부전동,2623010300,시설관리·임대,205,6543,3.1331193642060216,3.5176247378757113,-0.38450537366968973
20240331,부전시장,부산진구,부전동,2623010300,예술·스포츠,160,6543,2.4453614549900657,3.8271810405086044,-1.3818195855185387
20240331,부전시장,부산진구,부전동,2623010300,음식,2157,6543,32.966529115084825,35.40525247145758,-2.438723356372755
20240331,못골시장,남구,대연동,2629010600,과학·기술,402,4524,8.885941644562335,8.212229138235196,0.6737125063271385
20240331,못골시장,남구,대연동,2629010600,교육,259,4524,5.725022104332449,4.250574177012948,1.4744479273195017
20240331,못골시장,남구,대연동,2629010600,보건의료,82,4524,1.8125552608311228,1.3533934693605831,0.4591617914705397
20240331,못골시장,남구,대연동,2629010600,부동산,208,4524,4.597701149425287,3.8937522883866458,0.7039488610386413
20240331,못골시장,남구,대연동,2629010600,소매,859,4524,18.98762157382847,25.371633991279168,-6.384012417450698
20240331,못골시장,남구,대연동,2629010600,수리·개인,579,4524,12.79840848806366,12.642545684518856,0.15586280354480486
20240331,못골시장,남구,대연동,2629010600,숙박,46,4524,1.0167992926613616,1.5258130013647107,-0.509013708703349
20240331,못골시장,남구,대연동,2629010600,시설관리·임대,170,4524,3.757736516357206,3.5176247378757113,0.24011177848149456
20240331,못골시장,남구,대연동,2629010600,예술·스포츠,202,4524,4.465075154730327,3.8271810405086044,0.6378941142217225
20240331,못골시장,남구,대연동,2629010600,음식,1717,4524,37.95313881520778,35.40525247145758,2.5478863437502
20240331,광안역 주변,수영구,광안동,2650010400,과학·기술,272,3347,8.126680609501046,8.212229138235196,-0.08554852873415086
20240331,광안역 주변,수영구,광안동,2650010400,교육,125,3347,3.7346877801015834,4.250574177012948,-0.5158863969113643
20240331,광안역 주변,수영구,광안동,2650010400,보건의료,62,3347,1.8524051389303855,1.3533934693605831,0.49901166956980236
20240331,광안역 주변,수영구,광안동,2650010400,부동산,178,3347,5.318195398864655,3.8937522883866458,1.4244431104780095
20240331,광안역 주변,수영구,광안동,2650010400,소매,639,3347,19.091723931879294,25.371633991279168,-6.2799100593998745
20240331,광안역 주변,수영구,광안동,2650010400,수리·개인,455,3347,13.594263519569765,12.642545684518856,0.9517178350509088
20240331,광안역 주변,수영구,광안동,2650010400,숙박,107,3347,3.1968927397669553,1.5258130013647107,1.6710797384022447
20240331,광안역 주변,수영구,광안동,2650010400,시설관리·임대,116,3347,3.4657902599342694,3.5176247378757113,-0.051834477941441914
20240331,광안역 주변,수영구,광안동,2650010400,예술·스포츠,90,3347,2.68897520167314,3.8271810405086044,-1.1382058388354643
20240331,광안역 주변,수영구,광안동,2650010400,음식,1303,3347,38.93038541977891,35.40525247145758,3.5251329483213283
20240331,신평역 주변,사하구,신평동,2638010400,과학·기술,122,1117,10.922112802148613,8.212229138235196,2.7098836639134163
