code,name,residential00,residential12,residentialNoonMidnightRatio,residentialPeakHour,workplace00,workplace12,workplaceNoonMidnightRatio,workplacePeakHour,visitor00,visitor12,visitorNoonMidnightRatio,visitorPeakHour,visitorNoonAboveMidnightMonths
2611051000,중구 중앙동,6312.333333333333,3861.25,0.6116993187938956,04시,351.0833333333333,10810.416666666666,30.791597436506052,14시,3791.75,10010.166666666666,2.6399859343750687,14시,12
2611052000,중구 동광동,1971.0,1375.6666666666667,0.6979536614239811,04시,27.0,963.6666666666666,35.691358024691354,15시,797.25,1423.9166666666667,1.7860353297794502,12시,12
2611053000,중구 대청동,5425.666666666667,3536.9166666666665,0.6518860969466117,04시,87.58333333333333,2694.5833333333335,30.765937202664134,14시,1028.3333333333333,3371.5833333333335,3.278687196110211,14시,12
2611054500,중구 보수동,7235.916666666667,4407.083333333333,0.6090566733079199,04시,66.58333333333333,1296.75,19.475594493116397,16시,925.4166666666666,2168.9166666666665,2.343719045475011,13시,12
2611056000,중구 부평동,3895.8333333333335,2563.4166666666665,0.6579893048128341,04시,221.0,2368.8333333333335,10.71870286576169,15시,4587.583333333333,5870.083333333333,1.2795589544240795,19시,12
2611057000,중구 광복동,399.25,339.0,0.8490920475892298,05시,54.083333333333336,1430.5,26.449922958397533,15시,434.75,2974.5833333333335,6.842054820778225,14시,12
2611058000,중구 남포동,2480.25,2051.4166666666665,0.8271007626919329,06시,223.0,5198.0,23.309417040358746,15시,3478.4166666666665,11182.75,3.2148966244220314,14시,12
2611059000,중구 영주1동,384.4166666666667,220.58333333333334,0.5738131367873401,04시,7.666666666666667,217.33333333333334,28.347826086956523,14시,317.6666666666667,502.4166666666667,1.5815844700944386,12시,12
2611060000,중구 영주2동,6309.5,3836.0833333333335,0.6079853131521251,04시,43.166666666666664,740.8333333333334,17.162162162162165,16시,976.8333333333334,1400.4166666666667,1.433629073536939,14시,12
2614051000,서구 동대신1동,4457.25,2580.5833333333335,0.5789631125320172,04시,50.666666666666664,583.9166666666666,11.524671052631579,16시,1007.75,1373.3333333333333,1.3627718514843297,12시,12
2614052000,서구 동대신2동,3101.8333333333335,2044.1666666666667,0.6590188598140885,04시,22.0,307.5,13.977272727272727,13시,411.25,651.9166666666666,1.585207700101317,12시,12
2614053000,서구 동대신3동,6579.833333333333,4140.583333333333,0.6292839230983561,04시,202.83333333333334,3162.6666666666665,15.592440427280195,15시,2631.9166666666665,5463.583333333333,2.075895260108286,14시,12
2614054000,서구 서대신1동,13756.0,7398.166666666667,0.537813802461956,04시,154.41666666666666,2036.0833333333333,13.1856449001619,16시,1996.25,2920.8333333333335,1.4631600918388645,19시,12
2614056000,서구 서대신3동,3586.5,1889.1666666666667,0.5267438077977601,05시,62.583333333333336,899.5,14.372836218375499,09시,765.1666666666666,1330.25,1.7385101285123068,10시,12
2614057000,서구 서대신4동,6343.583333333333,3626.0,0.571601224334301,04시,67.58333333333333,1018.1666666666666,15.065351418002466,13시,1003.3333333333334,2802.6666666666665,2.7933554817275743,12시,12
2614059000,서구 부민동,4519.166666666667,2718.8333333333335,0.6016227180527384,04시,69.16666666666667,1185.4166666666667,17.13855421686747,15시,747.9166666666666,1966.0,2.6286350974930364,13시,12
2614061500,서구 아미동,5737.583333333333,3694.5833333333335,0.6439267403523552,04시,55.0,962.4166666666666,17.498484848484846,14시,1268.1666666666667,2094.5,1.6515967932711262,10시,12
2614063000,서구 초장동,3638.5833333333335,2286.8333333333335,0.6284955225247921,04시,42.416666666666664,459.1666666666667,10.82514734774067,14시,726.5833333333334,993.75,1.3677027182016286,12시,12
2614064000,서구 충무동,5892.166666666667,3843.0,0.6522218765027012,04시,80.33333333333333,1593.8333333333333,19.8402489626556,14시,947.5833333333334,2180.3333333333335,2.3009409902383258,12시,12
2614065000,서구 남부민1동,2527.9166666666665,1843.1666666666667,0.729124773364101,05시,38.25,416.1666666666667,10.880174291938998,15시,598.75,905.0833333333334,1.5116214335421017,11시,12
2614066000,서구 남부민2동,7333.666666666667,4346.75,0.592711694922958,04시,75.41666666666667,931.0,12.344751381215469,16시,1720.6666666666667,2215.6666666666665,1.2876791941108097,10시,12
2614068000,서구 암남동,13932.583333333334,8277.666666666666,0.594122889389979,04시,263.6666666666667,4907.666666666667,18.61314791403287,14시,3811.75,7804.666666666667,2.0475284755471024,14시,12
2617051000,동구 초량1동,2240.5,1470.5,0.6563267127873242,05시,69.16666666666667,1950.0,28.19277108433735,14시,1836.9166666666667,3061.6666666666665,1.666742276459647,12시,12
2617052000,동구 초량2동,4641.083333333333,3124.1666666666665,0.6731546154812993,04시,132.25,2206.5833333333335,16.68494013862634,15시,2882.5,5781.25,2.005637467476149,12시,12
2617053000,동구 초량3동,10354.916666666666,5819.416666666667,0.5619955093796023,04시,216.58333333333334,5641.5,26.047710657945363,14시,3258.3333333333335,11098.833333333334,3.406291560102302,15시,12
2617055000,동구 초량6동,1328.9166666666667,817.4166666666666,0.6151000188123157,04시,16.5,355.8333333333333,21.565656565656564,14시,418.9166666666667,954.4166666666666,2.27829719514621,15시,12
2617056000,동구 수정1동,3772.5,2308.0,0.6117958913187541,04시,57.416666666666664,915.1666666666666,15.939042089985486,15시,1023.8333333333334,1501.1666666666667,1.4662217157740518,12시,12
2617057000,동구 수정2동,7135.916666666667,4528.25,0.6345715920636218,04시,76.33333333333333,1606.6666666666667,21.048034934497817,16시,931.25,2095.4166666666665,2.250111856823266,12시,12
