요일_월0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,298,228,254,225,242,209,289,434,576,660,583,541,515,520,496,431,462,473,430,445,410,368,367,347
1,323,287,229,201,224,197,258,351,415,518,471,441,446,492,450,452,405,411,440,430,427,372,371,326
2,280,250,204,204,166,207,246,329,424,510,496,486,451,464,469,446,447,463,454,435,409,418,398,354
3,288,267,212,204,181,233,254,322,456,517,519,440,455,489,484,423,425,432,419,482,417,384,420,337
4,334,277,210,205,209,201,268,306,514,538,457,486,475,482,492,439,402,449,502,491,430,453,440,433
5,367,365,273,263,236,249,262,314,385,515,465,455,464,484,461,459,424,476,507,452,464,505,474,462
6,405,371,310,309,300,279,257,301,362,395,453,426,461,510,459,426,426,404,473,411,402,384,356,338
